building,room 1,sensorId,unit
Webtech,Studeerkamer,A81758FFFE053FDB-Illuminance,lx

Time (UTC),Value
03/30/2022 00:58:44,0.00
03/30/2022 00:53:44,0.00
03/30/2022 00:48:44,0.00
03/30/2022 00:43:44,0.00
03/30/2022 00:38:44,0.00
03/30/2022 00:33:44,0.00
03/30/2022 00:28:44,0.00
03/30/2022 00:23:44,0.00
03/30/2022 00:18:44,0.00
03/30/2022 00:13:45,0.00
03/30/2022 00:08:45,0.00
03/30/2022 00:03:45,0.00
03/29/2022 23:58:45,0.00
03/29/2022 23:53:45,0.00
03/29/2022 23:48:45,0.00
03/29/2022 23:43:45,0.00
03/29/2022 23:38:45,0.00
03/29/2022 23:33:45,0.00
03/29/2022 23:28:45,0.00
03/29/2022 23:23:45,0.00
03/29/2022 23:18:45,0.00
03/29/2022 23:13:45,0.00
03/29/2022 23:08:45,0.00
03/29/2022 23:03:45,0.00
03/29/2022 22:58:45,0.00
03/29/2022 22:53:45,0.00
03/29/2022 22:48:45,0.00
03/29/2022 22:43:45,0.00
03/29/2022 22:38:45,0.00
03/29/2022 22:33:45,0.00
03/29/2022 22:28:45,0.00
03/29/2022 22:23:45,0.00
03/29/2022 22:18:45,0.00
03/29/2022 22:13:45,0.00
03/29/2022 22:08:45,0.00
03/29/2022 22:03:45,0.00
03/29/2022 21:58:45,0.00
03/29/2022 21:53:45,0.00
03/29/2022 21:48:45,0.00
03/29/2022 21:43:45,0.00
03/29/2022 21:38:45,0.00
03/29/2022 21:33:45,0.00
03/29/2022 21:28:45,0.00
03/29/2022 21:23:45,0.00
03/29/2022 21:18:45,0.00
03/29/2022 21:13:45,0.00
03/29/2022 21:08:45,0.00
03/29/2022 21:03:45,0.00
03/29/2022 20:58:45,0.00
03/29/2022 20:53:45,0.00
03/29/2022 20:48:45,0.00
03/29/2022 20:43:45,0.00
03/29/2022 20:38:45,4.00
03/29/2022 20:33:45,4.00
03/29/2022 20:28:45,4.00
03/29/2022 20:23:45,5.00
03/29/2022 20:18:45,4.00
03/29/2022 20:13:45,5.00
03/29/2022 20:08:45,5.00
03/29/2022 20:03:45,4.00
03/29/2022 19:58:45,5.00
03/29/2022 19:53:45,4.00
03/29/2022 19:48:45,4.00
03/29/2022 19:43:45,4.00
03/29/2022 19:38:45,4.00
03/29/2022 19:33:45,4.00
03/29/2022 19:28:45,5.00
03/29/2022 19:23:45,5.00
03/29/2022 19:18:45,5.00
03/29/2022 19:13:45,5.00
03/29/2022 19:08:45,5.00
03/29/2022 19:03:45,5.00
03/29/2022 18:58:45,5.00
03/29/2022 18:53:45,5.00
03/29/2022 18:48:45,5.00
03/29/2022 18:43:46,5.00
03/29/2022 18:38:45,4.00
03/29/2022 18:33:45,5.00
03/29/2022 18:28:45,5.00
03/29/2022 18:23:45,5.00
03/29/2022 18:18:46,5.00
03/29/2022 18:13:46,5.00
03/29/2022 18:08:46,6.00
03/29/2022 18:03:46,8.00
03/29/2022 17:58:46,9.00
03/29/2022 17:53:46,12.00
03/29/2022 17:48:46,17.00
03/29/2022 17:43:46,21.00
03/29/2022 17:38:46,31.00
03/29/2022 17:33:46,31.00
03/29/2022 17:28:46,45.00
03/29/2022 17:23:46,61.00
03/29/2022 17:18:46,75.00
03/29/2022 17:13:46,102.00
03/29/2022 17:08:46,122.00
03/29/2022 17:03:46,142.00
03/29/2022 16:58:46,172.00
03/29/2022 16:53:46,198.00
03/29/2022 16:48:46,222.00
03/29/2022 16:43:46,229.00
03/29/2022 16:38:46,243.00
03/29/2022 16:33:46,265.00
03/29/2022 16:28:46,298.00
03/29/2022 16:23:46,316.00
03/29/2022 16:18:46,334.00
03/29/2022 16:13:46,331.00
03/29/2022 16:08:46,363.00
03/29/2022 16:03:46,414.00
03/29/2022 15:58:46,434.00
03/29/2022 15:53:46,465.00
03/29/2022 15:48:46,478.00
03/29/2022 15:43:46,489.00
03/29/2022 15:38:46,475.00
03/29/2022 15:33:46,470.00
03/29/2022 15:28:46,485.00
03/29/2022 15:23:46,487.00
03/29/2022 15:18:46,487.00
03/29/2022 15:13:46,477.00
03/29/2022 15:08:46,474.00
03/29/2022 15:03:46,468.00
03/29/2022 14:58:46,452.00
03/29/2022 14:53:46,458.00
03/29/2022 14:48:46,447.00
03/29/2022 14:43:46,446.00
03/29/2022 14:38:46,436.00
03/29/2022 14:33:46,436.00
03/29/2022 14:28:46,435.00
03/29/2022 14:23:46,193.00
03/29/2022 14:18:46,243.00
03/29/2022 14:13:46,146.00
03/29/2022 14:08:46,150.00
03/29/2022 14:03:46,175.00
03/29/2022 13:58:46,157.00
03/29/2022 13:53:46,176.00
03/29/2022 13:48:46,163.00
03/29/2022 13:43:46,148.00
03/29/2022 13:38:46,183.00
03/29/2022 13:33:46,185.00
03/29/2022 13:28:46,232.00
03/29/2022 13:23:47,185.00
03/29/2022 13:18:46,150.00
03/29/2022 13:13:46,138.00
03/29/2022 13:08:46,117.00
03/29/2022 13:03:46,123.00
03/29/2022 12:58:46,141.00
03/29/2022 12:53:47,153.00
03/29/2022 12:48:47,173.00
03/29/2022 12:43:47,152.00
03/29/2022 12:38:47,161.00
03/29/2022 12:33:47,156.00
03/29/2022 12:28:47,152.00
03/29/2022 12:23:47,143.00
03/29/2022 12:18:47,135.00
03/29/2022 12:13:47,136.00
03/29/2022 12:08:47,144.00
03/29/2022 12:03:47,183.00
03/29/2022 11:58:47,158.00
03/29/2022 11:53:47,145.00
03/29/2022 11:48:47,132.00
03/29/2022 11:43:47,161.00
03/29/2022 11:38:47,192.00
03/29/2022 11:33:47,210.00
03/29/2022 11:28:47,309.00
03/29/2022 11:23:47,230.00
03/29/2022 11:18:47,161.00
03/29/2022 11:13:47,123.00
03/29/2022 11:08:47,98.00
03/29/2022 11:03:47,107.00
03/29/2022 10:58:47,128.00
03/29/2022 10:53:47,129.00
03/29/2022 10:48:47,130.00
03/29/2022 10:43:47,126.00
03/29/2022 10:38:47,128.00
03/29/2022 10:33:47,138.00
03/29/2022 10:28:47,134.00
03/29/2022 10:23:47,138.00
03/29/2022 10:18:47,138.00
03/29/2022 10:13:47,155.00
03/29/2022 10:08:47,163.00
03/29/2022 10:03:47,136.00
03/29/2022 09:58:47,104.00
03/29/2022 09:53:47,125.00
03/29/2022 09:48:47,149.00
03/29/2022 09:43:47,125.00
03/29/2022 09:38:47,120.00
03/29/2022 09:33:47,110.00
03/29/2022 09:28:47,109.00
03/29/2022 09:23:47,116.00
03/29/2022 09:18:47,133.00
03/29/2022 09:13:47,129.00
03/29/2022 09:08:47,131.00
03/29/2022 09:03:47,126.00
03/29/2022 08:58:47,98.00
03/29/2022 08:53:47,104.00
03/29/2022 08:48:47,89.00
03/29/2022 08:43:47,92.00
03/29/2022 08:38:47,81.00
03/29/2022 08:33:47,82.00
03/29/2022 08:28:47,80.00
03/29/2022 08:23:47,86.00
03/29/2022 08:18:47,76.00
03/29/2022 08:13:47,75.00
03/29/2022 08:08:47,75.00
03/29/2022 08:03:48,70.00
03/29/2022 07:58:47,60.00
03/29/2022 07:53:47,59.00
03/29/2022 07:48:47,56.00
03/29/2022 07:43:47,58.00
03/29/2022 07:38:47,59.00
03/29/2022 07:33:47,57.00
03/29/2022 07:28:47,45.00
03/29/2022 07:23:48,51.00
03/29/2022 07:18:48,42.00
03/29/2022 07:13:48,25.00
03/29/2022 07:08:48,28.00
03/29/2022 07:03:48,34.00
03/29/2022 06:58:48,34.00
03/29/2022 06:53:48,31.00
03/29/2022 06:48:48,35.00
03/29/2022 06:43:48,21.00
03/29/2022 06:38:48,12.00
03/29/2022 06:33:48,11.00
03/29/2022 06:28:48,9.00
03/29/2022 06:23:48,6.00
03/29/2022 06:18:48,5.00
03/29/2022 06:13:48,5.00
03/29/2022 06:08:48,4.00
03/29/2022 06:03:48,3.00
03/29/2022 05:58:48,2.00
03/29/2022 05:53:48,2.00
03/29/2022 05:48:48,1.00
03/29/2022 05:43:48,1.00
03/29/2022 05:38:48,0.00
03/29/2022 05:33:48,0.00
03/29/2022 05:28:48,0.00
03/29/2022 05:23:48,0.00
03/29/2022 05:18:48,0.00
03/29/2022 05:13:48,5.00
03/29/2022 05:08:48,5.00
03/29/2022 05:03:48,5.00
03/29/2022 04:58:48,5.00
03/29/2022 04:53:48,5.00
03/29/2022 04:48:48,5.00
03/29/2022 04:43:48,5.00
03/29/2022 04:38:48,5.00
03/29/2022 04:33:48,5.00
03/29/2022 04:28:48,5.00
03/29/2022 04:23:48,5.00
03/29/2022 04:18:48,5.00
03/29/2022 04:13:48,5.00
03/29/2022 04:08:48,0.00
03/29/2022 04:03:48,0.00
03/29/2022 03:58:48,0.00
03/29/2022 03:53:48,0.00
03/29/2022 03:48:48,0.00
03/29/2022 03:43:48,0.00
03/29/2022 03:38:48,0.00
03/29/2022 03:33:48,0.00
03/29/2022 03:28:48,0.00
03/29/2022 03:23:48,0.00
03/29/2022 03:18:48,0.00
03/29/2022 03:13:48,0.00
03/29/2022 03:08:48,0.00
03/29/2022 03:03:48,0.00
03/29/2022 02:58:48,0.00
03/29/2022 02:53:48,0.00
03/29/2022 02:48:48,0.00
03/29/2022 02:43:49,0.00
03/29/2022 02:38:48,0.00
03/29/2022 02:33:48,0.00
03/29/2022 02:28:48,0.00
03/29/2022 02:23:48,0.00
03/29/2022 02:18:48,0.00
03/29/2022 02:13:48,0.00
03/29/2022 02:08:48,0.00
03/29/2022 02:03:48,0.00
03/29/2022 01:58:48,0.00
03/29/2022 01:53:48,0.00
03/29/2022 01:48:49,0.00
03/29/2022 01:43:49,0.00
03/29/2022 01:38:49,0.00
03/29/2022 01:33:49,0.00
03/29/2022 01:28:49,0.00
03/29/2022 01:23:49,0.00
03/29/2022 01:18:49,0.00
03/29/2022 01:13:49,0.00
03/29/2022 01:08:49,0.00
03/29/2022 01:03:49,0.00
03/29/2022 00:58:49,0.00
03/29/2022 00:53:49,0.00
03/29/2022 00:48:49,0.00
03/29/2022 00:43:49,0.00
03/29/2022 00:38:49,0.00
03/29/2022 00:33:49,0.00
03/29/2022 00:28:49,0.00
03/29/2022 00:23:49,0.00
03/29/2022 00:18:49,0.00
03/29/2022 00:13:49,0.00
03/29/2022 00:08:49,0.00
03/29/2022 00:03:49,0.00
03/28/2022 23:58:49,0.00
03/28/2022 23:53:49,0.00
03/28/2022 23:48:49,0.00
03/28/2022 23:43:49,0.00
03/28/2022 23:38:49,0.00
03/28/2022 23:33:49,0.00
03/28/2022 23:28:49,0.00
03/28/2022 23:23:49,0.00
03/28/2022 23:18:49,0.00
03/28/2022 23:13:49,0.00
03/28/2022 23:08:49,0.00
03/28/2022 23:03:49,0.00
03/28/2022 22:58:49,0.00
03/28/2022 22:53:49,0.00
03/28/2022 22:48:49,0.00
03/28/2022 22:43:49,0.00
03/28/2022 22:38:49,0.00
03/28/2022 22:33:49,4.00
03/28/2022 22:28:49,4.00
03/28/2022 22:23:49,4.00
03/28/2022 22:18:49,4.00
03/28/2022 22:13:49,4.00
03/28/2022 22:08:49,4.00
03/28/2022 22:03:49,4.00
03/28/2022 21:58:49,4.00
03/28/2022 21:53:49,4.00
03/28/2022 21:48:49,4.00
03/28/2022 21:43:49,4.00
03/28/2022 21:38:49,4.00
03/28/2022 21:33:49,4.00
03/28/2022 21:28:49,4.00
03/28/2022 21:23:49,4.00
03/28/2022 21:18:49,4.00
03/28/2022 21:13:49,4.00
03/28/2022 21:08:49,4.00
03/28/2022 21:03:49,4.00
03/28/2022 20:58:49,4.00
03/28/2022 20:53:50,4.00
03/28/2022 20:48:50,4.00
03/28/2022 20:43:50,4.00
03/28/2022 20:38:50,4.00
03/28/2022 20:33:50,4.00
03/28/2022 20:28:50,4.00
03/28/2022 20:23:50,4.00
03/28/2022 20:18:50,4.00
03/28/2022 20:13:50,4.00
03/28/2022 20:08:50,4.00
03/28/2022 20:03:50,4.00
03/28/2022 19:58:50,4.00
03/28/2022 19:53:50,4.00
03/28/2022 19:48:50,4.00
03/28/2022 19:43:50,4.00
03/28/2022 19:38:50,4.00
03/28/2022 19:33:50,4.00
03/28/2022 19:28:50,4.00
03/28/2022 19:23:50,5.00
03/28/2022 19:18:50,4.00
03/28/2022 19:08:50,4.00
03/28/2022 19:03:50,4.00
03/28/2022 18:58:50,4.00
03/28/2022 18:53:50,4.00
03/28/2022 18:48:50,4.00
03/28/2022 18:43:50,4.00
03/28/2022 18:38:50,4.00
03/28/2022 18:33:50,4.00
03/28/2022 18:28:50,4.00
03/28/2022 18:23:50,4.00
03/28/2022 18:18:50,4.00
03/28/2022 18:13:50,4.00
03/28/2022 18:08:50,5.00
03/28/2022 18:03:50,5.00
03/28/2022 17:58:50,6.00
03/28/2022 17:53:50,7.00
03/28/2022 17:48:50,8.00
03/28/2022 17:43:50,9.00
03/28/2022 17:38:50,11.00
03/28/2022 17:33:50,4.00
03/28/2022 17:28:50,7.00
03/28/2022 17:23:50,10.00
03/28/2022 17:18:50,19.00
03/28/2022 17:13:50,28.00
03/28/2022 17:08:50,27.00
03/28/2022 17:03:50,39.00
03/28/2022 16:58:50,44.00
03/28/2022 16:53:50,51.00
03/28/2022 16:48:50,67.00
03/28/2022 16:43:50,64.00
03/28/2022 16:38:50,72.00
03/28/2022 16:33:50,69.00
03/28/2022 16:28:50,90.00
03/28/2022 16:23:50,116.00
03/28/2022 16:18:50,109.00
03/28/2022 16:13:50,142.00
03/28/2022 16:08:50,160.00
03/28/2022 16:03:51,126.00
03/28/2022 15:58:50,127.00
03/28/2022 15:53:50,161.00
03/28/2022 15:48:50,154.00
03/28/2022 15:43:50,146.00
03/28/2022 15:38:50,170.00
03/28/2022 15:33:50,297.00
03/28/2022 15:28:51,263.00
03/28/2022 15:23:51,851.00
03/28/2022 15:18:51,829.00
03/28/2022 15:13:51,742.00
03/28/2022 15:08:51,681.00
03/28/2022 15:03:51,381.00
03/28/2022 14:58:51,566.00
03/28/2022 14:53:51,528.00
03/28/2022 14:48:51,842.00
03/28/2022 14:43:51,351.00
03/28/2022 14:38:51,342.00
03/28/2022 14:33:51,531.00
03/28/2022 14:28:51,360.00
03/28/2022 14:23:51,188.00
03/28/2022 14:18:51,163.00
03/28/2022 14:13:51,167.00
03/28/2022 14:08:51,201.00
03/28/2022 14:03:51,250.00
03/28/2022 13:58:51,264.00
03/28/2022 13:53:51,206.00
03/28/2022 13:48:51,177.00
03/28/2022 13:43:51,137.00
03/28/2022 13:38:51,192.00
03/28/2022 13:33:51,199.00
03/28/2022 13:28:51,192.00
03/28/2022 13:23:51,200.00
03/28/2022 13:18:51,245.00
03/28/2022 13:13:51,228.00
03/28/2022 13:08:51,238.00
03/28/2022 13:03:51,215.00
03/28/2022 12:53:51,187.00
03/28/2022 12:48:51,194.00
03/28/2022 12:43:51,195.00
03/28/2022 12:38:51,170.00
03/28/2022 12:33:51,180.00
03/28/2022 12:28:51,188.00
03/28/2022 12:23:51,211.00
03/28/2022 12:18:51,203.00
03/28/2022 12:13:51,224.00
03/28/2022 12:08:51,227.00
03/28/2022 12:03:51,188.00
03/28/2022 11:58:51,184.00
03/28/2022 11:53:51,187.00
03/28/2022 11:48:51,201.00
03/28/2022 11:43:51,348.00
