ver:"3.0" id:@beef6fde-94c1-11ec-8346-9afde65bc921 hisStart:2022-06-05T18:53:52-00:00 Amsterdam hisEnd:2022-06-08T18:53:52-00:00 Amsterdam
ts,val
2022-06-05T18:54:56-00:00 Amsterdam,0
2022-06-05T18:59:56-00:00 Amsterdam,0
2022-06-05T19:04:56-00:00 Amsterdam,0
2022-06-05T19:09:56-00:00 Amsterdam,0
2022-06-05T19:14:56-00:00 Amsterdam,0
2022-06-05T19:19:56-00:00 Amsterdam,0
2022-06-05T19:24:55-00:00 Amsterdam,0
2022-06-05T19:29:55-00:00 Amsterdam,0
2022-06-05T19:34:55-00:00 Amsterdam,0
2022-06-05T19:39:55-00:00 Amsterdam,0
2022-06-05T19:44:55-00:00 Amsterdam,0
2022-06-05T19:49:55-00:00 Amsterdam,0
2022-06-05T19:54:55-00:00 Amsterdam,0
2022-06-05T19:59:55-00:00 Amsterdam,0
2022-06-05T20:04:55-00:00 Amsterdam,0
2022-06-05T20:09:55-00:00 Amsterdam,0
2022-06-05T20:14:55-00:00 Amsterdam,0
2022-06-05T20:19:55-00:00 Amsterdam,0
2022-06-05T20:24:55-00:00 Amsterdam,0
2022-06-05T20:29:55-00:00 Amsterdam,0
2022-06-05T20:34:55-00:00 Amsterdam,0
2022-06-05T20:39:55-00:00 Amsterdam,0
2022-06-05T20:44:55-00:00 Amsterdam,0
2022-06-05T20:49:55-00:00 Amsterdam,0
2022-06-05T20:54:55-00:00 Amsterdam,0
2022-06-05T20:59:55-00:00 Amsterdam,0
2022-06-05T21:04:55-00:00 Amsterdam,0
2022-06-05T21:09:55-00:00 Amsterdam,0
2022-06-05T21:14:55-00:00 Amsterdam,0
2022-06-05T21:19:55-00:00 Amsterdam,0
2022-06-05T21:24:55-00:00 Amsterdam,0
2022-06-05T21:29:55-00:00 Amsterdam,0
2022-06-05T21:34:55-00:00 Amsterdam,0
2022-06-05T21:39:55-00:00 Amsterdam,0
2022-06-05T21:44:55-00:00 Amsterdam,0
2022-06-05T21:49:55-00:00 Amsterdam,0
2022-06-05T21:54:55-00:00 Amsterdam,0
2022-06-05T21:59:55-00:00 Amsterdam,0
2022-06-05T22:04:55-00:00 Amsterdam,0
2022-06-05T22:09:55-00:00 Amsterdam,0
2022-06-05T22:14:55-00:00 Amsterdam,0
2022-06-05T22:19:55-00:00 Amsterdam,0
2022-06-05T22:24:55-00:00 Amsterdam,0
2022-06-05T22:29:55-00:00 Amsterdam,0
2022-06-05T22:34:55-00:00 Amsterdam,0
2022-06-05T22:39:55-00:00 Amsterdam,0
2022-06-05T22:44:55-00:00 Amsterdam,0
2022-06-05T22:49:55-00:00 Amsterdam,0
2022-06-05T22:54:55-00:00 Amsterdam,0
2022-06-05T22:59:55-00:00 Amsterdam,0
2022-06-05T23:04:55-00:00 Amsterdam,0
2022-06-05T23:09:55-00:00 Amsterdam,0
2022-06-05T23:14:55-00:00 Amsterdam,0
2022-06-05T23:19:55-00:00 Amsterdam,0
2022-06-05T23:24:55-00:00 Amsterdam,0
2022-06-05T23:29:55-00:00 Amsterdam,0
2022-06-05T23:34:55-00:00 Amsterdam,0
2022-06-05T23:39:55-00:00 Amsterdam,0
2022-06-05T23:44:55-00:00 Amsterdam,0
2022-06-05T23:49:55-00:00 Amsterdam,0
2022-06-05T23:54:55-00:00 Amsterdam,0
2022-06-05T23:59:55-00:00 Amsterdam,0
2022-06-06T00:04:55-00:00 Amsterdam,0
2022-06-06T00:09:55-00:00 Amsterdam,0
2022-06-06T00:14:55-00:00 Amsterdam,0
2022-06-06T00:19:55-00:00 Amsterdam,0
2022-06-06T00:24:55-00:00 Amsterdam,0
2022-06-06T00:29:55-00:00 Amsterdam,0
2022-06-06T00:34:55-00:00 Amsterdam,0
2022-06-06T00:39:55-00:00 Amsterdam,0
2022-06-06T00:44:55-00:00 Amsterdam,0
2022-06-06T00:49:55-00:00 Amsterdam,0
2022-06-06T00:54:55-00:00 Amsterdam,0
2022-06-06T00:59:55-00:00 Amsterdam,0
2022-06-06T01:04:55-00:00 Amsterdam,0
2022-06-06T01:09:55-00:00 Amsterdam,0
