ver:"3.0" id:@a8bb0d4b-2976-4a90-aeaa-46a77363a332 hisStart:2022-06-05T18:54:14-00:00 Amsterdam hisEnd:2022-06-08T18:54:14-00:00 Amsterdam
ts,val
2022-06-05T18:54:56-00:00 Amsterdam,350
2022-06-05T18:59:56-00:00 Amsterdam,349
2022-06-05T19:04:56-00:00 Amsterdam,353
2022-06-05T19:09:56-00:00 Amsterdam,352
2022-06-05T19:14:56-00:00 Amsterdam,356
2022-06-05T19:19:56-00:00 Amsterdam,346
2022-06-05T19:24:55-00:00 Amsterdam,354
2022-06-05T19:29:55-00:00 Amsterdam,347
2022-06-05T19:34:55-00:00 Amsterdam,353
2022-06-05T19:39:55-00:00 Amsterdam,350
2022-06-05T19:44:55-00:00 Amsterdam,356
2022-06-05T19:49:55-00:00 Amsterdam,358
2022-06-05T19:54:55-00:00 Amsterdam,380
2022-06-05T19:59:55-00:00 Amsterdam,386
2022-06-05T20:04:55-00:00 Amsterdam,402
2022-06-05T20:09:55-00:00 Amsterdam,398
2022-06-05T20:14:55-00:00 Amsterdam,411
2022-06-05T20:19:55-00:00 Amsterdam,418
2022-06-05T20:24:55-00:00 Amsterdam,410
2022-06-05T20:29:55-00:00 Amsterdam,399
2022-06-05T20:34:55-00:00 Amsterdam,412
2022-06-05T20:39:55-00:00 Amsterdam,415
2022-06-05T20:44:55-00:00 Amsterdam,402
2022-06-05T20:49:55-00:00 Amsterdam,407
2022-06-05T20:54:55-00:00 Amsterdam,394
2022-06-05T20:59:55-00:00 Amsterdam,401
2022-06-05T21:04:55-00:00 Amsterdam,394
2022-06-05T21:09:55-00:00 Amsterdam,401
2022-06-05T21:14:55-00:00 Amsterdam,400
2022-06-05T21:19:55-00:00 Amsterdam,413
2022-06-05T21:24:55-00:00 Amsterdam,407
2022-06-05T21:29:55-00:00 Amsterdam,406
2022-06-05T21:34:55-00:00 Amsterdam,406
2022-06-05T21:39:55-00:00 Amsterdam,397
2022-06-05T21:44:55-00:00 Amsterdam,392
2022-06-05T21:49:55-00:00 Amsterdam,395
2022-06-05T21:54:55-00:00 Amsterdam,389
2022-06-05T21:59:55-00:00 Amsterdam,400
2022-06-05T22:04:55-00:00 Amsterdam,397
2022-06-05T22:09:55-00:00 Amsterdam,393
2022-06-05T22:14:55-00:00 Amsterdam,378
2022-06-05T22:19:55-00:00 Amsterdam,400
2022-06-05T22:24:55-00:00 Amsterdam,397
2022-06-05T22:29:55-00:00 Amsterdam,392
2022-06-05T22:34:55-00:00 Amsterdam,396
2022-06-05T22:39:55-00:00 Amsterdam,393
2022-06-05T22:44:55-00:00 Amsterdam,402
2022-06-05T22:49:55-00:00 Amsterdam,406
2022-06-05T22:54:55-00:00 Amsterdam,412
2022-06-05T22:59:55-00:00 Amsterdam,426
2022-06-05T23:04:55-00:00 Amsterdam,426
2022-06-05T23:09:55-00:00 Amsterdam,406
2022-06-05T23:14:55-00:00 Amsterdam,420
2022-06-05T23:19:55-00:00 Amsterdam,414
2022-06-05T23:24:55-00:00 Amsterdam,409
2022-06-05T23:29:55-00:00 Amsterdam,414
2022-06-05T23:34:55-00:00 Amsterdam,457
2022-06-05T23:39:55-00:00 Amsterdam,531
2022-06-05T23:44:55-00:00 Amsterdam,620
2022-06-05T23:49:55-00:00 Amsterdam,674
2022-06-05T23:54:55-00:00 Amsterdam,692
2022-06-05T23:59:55-00:00 Amsterdam,721
2022-06-06T00:04:55-00:00 Amsterdam,738
2022-06-06T00:09:55-00:00 Amsterdam,761
2022-06-06T00:14:55-00:00 Amsterdam,770
2022-06-06T00:19:55-00:00 Amsterdam,797
2022-06-06T00:24:55-00:00 Amsterdam,808
2022-06-06T00:29:55-00:00 Amsterdam,830
2022-06-06T00:34:55-00:00 Amsterdam,830
2022-06-06T00:39:55-00:00 Amsterdam,853
2022-06-06T00:44:55-00:00 Amsterdam,851
2022-06-06T00:49:55-00:00 Amsterdam,873
2022-06-06T00:54:55-00:00 Amsterdam,890
2022-06-06T00:59:55-00:00 Amsterdam,903
2022-06-06T01:04:55-00:00 Amsterdam,922
2022-06-06T01:09:55-00:00 Amsterdam,938
2022-06-06T01:14:55-00:00 Amsterdam,941
2022-06-06T01:19:54-00:00 Amsterdam,956
2022-06-06T01:24:54-00:00 Amsterdam,970
2022-06-06T01:29:54-00:00 Amsterdam,978
2022-06-06T01:34:54-00:00 Amsterdam,974
2022-06-06T01:39:54-00:00 Amsterdam,997
2022-06-06T01:44:54-00:00 Amsterdam,1003
2022-06-06T01:49:54-00:00 Amsterdam,1004
2022-06-06T01:54:54-00:00 Amsterdam,1017
2022-06-06T01:59:55-00:00 Amsterdam,1034
2022-06-06T02:04:54-00:00 Amsterdam,1056
2022-06-06T02:09:54-00:00 Amsterdam,1057
2022-06-06T02:14:54-00:00 Amsterdam,1068
2022-06-06T02:19:54-00:00 Amsterdam,1086
2022-06-06T02:24:54-00:00 Amsterdam,1101
2022-06-06T02:29:54-00:00 Amsterdam,1127
2022-06-06T02:34:54-00:00 Amsterdam,1147
2022-06-06T02:39:54-00:00 Amsterdam,1153
2022-06-06T02:44:54-00:00 Amsterdam,1164
2022-06-06T02:49:54-00:00 Amsterdam,1180
2022-06-06T02:54:54-00:00 Amsterdam,1159
2022-06-06T02:59:54-00:00 Amsterdam,1153
2022-06-06T03:04:54-00:00 Amsterdam,1159
2022-06-06T03:09:54-00:00 Amsterdam,1120
2022-06-06T03:14:54-00:00 Amsterdam,1131
2022-06-06T03:19:54-00:00 Amsterdam,1123
2022-06-06T03:24:54-00:00 Amsterdam,1116
2022-06-06T03:29:54-00:00 Amsterdam,1131
2022-06-06T03:34:54-00:00 Amsterdam,1119
2022-06-06T03:44:54-00:00 Amsterdam,1104
2022-06-06T03:49:54-00:00 Amsterdam,1092
2022-06-06T03:54:54-00:00 Amsterdam,1096
2022-06-06T03:59:54-00:00 Amsterdam,1095
2022-06-06T04:04:54-00:00 Amsterdam,1083
2022-06-06T04:09:54-00:00 Amsterdam,1111
2022-06-06T04:14:54-00:00 Amsterdam,1117
2022-06-06T04:19:54-00:00 Amsterdam,1116
2022-06-06T04:24:54-00:00 Amsterdam,1108
2022-06-06T04:29:54-00:00 Amsterdam,1101
2022-06-06T04:34:54-00:00 Amsterdam,1108
2022-06-06T04:39:54-00:00 Amsterdam,1112
2022-06-06T04:44:54-00:00 Amsterdam,1090
2022-06-06T04:49:54-00:00 Amsterdam,1087
2022-06-06T04:54:54-00:00 Amsterdam,1085
2022-06-06T04:59:54-00:00 Amsterdam,1080
2022-06-06T05:04:54-00:00 Amsterdam,1072
2022-06-06T05:09:54-00:00 Amsterdam,1066
2022-06-06T05:14:54-00:00 Amsterdam,1068
2022-06-06T05:19:54-00:00 Amsterdam,1044
2022-06-06T05:24:54-00:00 Amsterdam,1050
2022-06-06T05:29:54-00:00 Amsterdam,1057
2022-06-06T05:34:54-00:00 Amsterdam,1040
2022-06-06T05:39:54-00:00 Amsterdam,1042
2022-06-06T05:44:54-00:00 Amsterdam,1026
2022-06-06T05:49:54-00:00 Amsterdam,1017
2022-06-06T05:54:54-00:00 Amsterdam,1021
2022-06-06T05:59:54-00:00 Amsterdam,1021
2022-06-06T06:04:54-00:00 Amsterdam,1018
2022-06-06T06:09:54-00:00 Amsterdam,1030
2022-06-06T06:14:54-00:00 Amsterdam,1029
2022-06-06T06:19:54-00:00 Amsterdam,1029
2022-06-06T06:24:54-00:00 Amsterdam,1007
2022-06-06T06:29:54-00:00 Amsterdam,1012
2022-06-06T06:34:54-00:00 Amsterdam,1001
2022-06-06T06:39:54-00:00 Amsterdam,1008
2022-06-06T06:44:54-00:00 Amsterdam,1008
2022-06-06T06:49:54-00:00 Amsterdam,1007
2022-06-06T06:54:54-00:00 Amsterdam,1004
2022-06-06T06:59:54-00:00 Amsterdam,983
2022-06-06T07:04:54-00:00 Amsterdam,967
2022-06-06T07:09:54-00:00 Amsterdam,938
2022-06-06T07:19:54-00:00 Amsterdam,915
2022-06-06T07:24:53-00:00 Amsterdam,916
2022-06-06T07:29:53-00:00 Amsterdam,901
2022-06-06T07:34:53-00:00 Amsterdam,904
2022-06-06T07:39:53-00:00 Amsterdam,906
2022-06-06T07:44:53-00:00 Amsterdam,924
2022-06-06T07:49:53-00:00 Amsterdam,884
2022-06-06T07:54:53-00:00 Amsterdam,852
2022-06-06T07:59:53-00:00 Amsterdam,839
2022-06-06T08:04:53-00:00 Amsterdam,851
2022-06-06T08:09:53-00:00 Amsterdam,868
2022-06-06T08:14:53-00:00 Amsterdam,850
2022-06-06T08:19:53-00:00 Amsterdam,836
2022-06-06T08:24:53-00:00 Amsterdam,831
2022-06-06T08:29:53-00:00 Amsterdam,816
2022-06-06T08:34:53-00:00 Amsterdam,803
2022-06-06T08:39:53-00:00 Amsterdam,783
2022-06-06T08:44:53-00:00 Amsterdam,749
2022-06-06T08:49:53-00:00 Amsterdam,721
2022-06-06T08:54:53-00:00 Amsterdam,712
2022-06-06T08:59:53-00:00 Amsterdam,692
2022-06-06T09:04:53-00:00 Amsterdam,675
2022-06-06T09:09:53-00:00 Amsterdam,648
2022-06-06T09:14:53-00:00 Amsterdam,645
2022-06-06T09:19:53-00:00 Amsterdam,628
2022-06-06T09:24:53-00:00 Amsterdam,609
2022-06-06T09:29:53-00:00 Amsterdam,607
2022-06-06T09:34:53-00:00 Amsterdam,610
2022-06-06T09:39:53-00:00 Amsterdam,601
2022-06-06T09:44:53-00:00 Amsterdam,596
2022-06-06T09:49:53-00:00 Amsterdam,586
2022-06-06T09:54:53-00:00 Amsterdam,575
2022-06-06T09:59:53-00:00 Amsterdam,580
2022-06-06T10:04:53-00:00 Amsterdam,568
2022-06-06T10:09:53-00:00 Amsterdam,564
2022-06-06T10:14:53-00:00 Amsterdam,553
2022-06-06T10:19:53-00:00 Amsterdam,535
2022-06-06T10:24:53-00:00 Amsterdam,524
2022-06-06T10:29:53-00:00 Amsterdam,510
2022-06-06T10:34:53-00:00 Amsterdam,488
2022-06-06T10:39:53-00:00 Amsterdam,460
2022-06-06T10:44:53-00:00 Amsterdam,436
2022-06-06T10:49:53-00:00 Amsterdam,423
2022-06-06T10:54:53-00:00 Amsterdam,421
2022-06-06T10:59:53-00:00 Amsterdam,413
2022-06-06T11:04:53-00:00 Amsterdam,412
2022-06-06T11:09:53-00:00 Amsterdam,409
2022-06-06T11:14:53-00:00 Amsterdam,387
2022-06-06T11:19:53-00:00 Amsterdam,386
2022-06-06T11:24:53-00:00 Amsterdam,383
2022-06-06T11:29:53-00:00 Amsterdam,379
2022-06-06T11:34:53-00:00 Amsterdam,390
2022-06-06T11:39:53-00:00 Amsterdam,382
2022-06-06T11:44:53-00:00 Amsterdam,385
2022-06-06T11:49:53-00:00 Amsterdam,391
2022-06-06T11:54:53-00:00 Amsterdam,373
2022-06-06T11:59:53-00:00 Amsterdam,377
2022-06-06T12:04:53-00:00 Amsterdam,375
2022-06-06T12:09:53-00:00 Amsterdam,374
2022-06-06T12:14:53-00:00 Amsterdam,380
2022-06-06T12:19:53-00:00 Amsterdam,382
2022-06-06T12:24:53-00:00 Amsterdam,382
2022-06-06T12:29:53-00:00 Amsterdam,370
2022-06-06T12:34:53-00:00 Amsterdam,372
2022-06-06T12:39:53-00:00 Amsterdam,369
2022-06-06T12:44:53-00:00 Amsterdam,381
2022-06-06T12:49:53-00:00 Amsterdam,372
2022-06-06T12:54:53-00:00 Amsterdam,362
2022-06-06T12:59:53-00:00 Amsterdam,359
2022-06-06T13:04:53-00:00 Amsterdam,364
2022-06-06T13:09:53-00:00 Amsterdam,365
2022-06-06T13:14:53-00:00 Amsterdam,374
2022-06-06T13:19:52-00:00 Amsterdam,369
2022-06-06T13:24:52-00:00 Amsterdam,377
2022-06-06T13:29:52-00:00 Amsterdam,388
2022-06-06T13:34:52-00:00 Amsterdam,411
2022-06-06T13:44:52-00:00 Amsterdam,430
2022-06-06T13:49:52-00:00 Amsterdam,435
2022-06-06T13:54:52-00:00 Amsterdam,432
2022-06-06T13:59:53-00:00 Amsterdam,431
2022-06-06T14:04:52-00:00 Amsterdam,425
2022-06-06T14:09:52-00:00 Amsterdam,423
2022-06-06T14:14:52-00:00 Amsterdam,424
2022-06-06T14:19:52-00:00 Amsterdam,452
2022-06-06T14:24:52-00:00 Amsterdam,465
2022-06-06T14:29:52-00:00 Amsterdam,474
2022-06-06T14:39:52-00:00 Amsterdam,468
2022-06-06T14:44:52-00:00 Amsterdam,467
2022-06-06T14:49:52-00:00 Amsterdam,468
2022-06-06T14:54:52-00:00 Amsterdam,464
2022-06-06T14:59:52-00:00 Amsterdam,442
2022-06-06T15:09:52-00:00 Amsterdam,469
2022-06-06T15:14:52-00:00 Amsterdam,493
