ver:"3.0" id:@6a3fa16b-b1ab-4b7b-a903-50b4130c75d1 hisStart:2022-06-05T18:54:12-00:00 Amsterdam hisEnd:2022-06-08T18:54:12-00:00 Amsterdam
ts,val
2022-06-05T18:58:58-00:00 Amsterdam,63
2022-06-05T19:03:58-00:00 Amsterdam,64
2022-06-05T19:13:58-00:00 Amsterdam,65
2022-06-05T19:18:58-00:00 Amsterdam,64
2022-06-05T19:23:58-00:00 Amsterdam,64
2022-06-05T19:28:58-00:00 Amsterdam,64
2022-06-05T19:33:58-00:00 Amsterdam,64
2022-06-05T19:38:58-00:00 Amsterdam,64
2022-06-05T19:43:58-00:00 Amsterdam,64
2022-06-05T19:48:58-00:00 Amsterdam,64
2022-06-05T19:53:58-00:00 Amsterdam,64
2022-06-05T19:58:58-00:00 Amsterdam,64
2022-06-05T20:03:58-00:00 Amsterdam,64
2022-06-05T20:08:58-00:00 Amsterdam,64
2022-06-05T20:13:57-00:00 Amsterdam,64
2022-06-05T20:18:57-00:00 Amsterdam,64
2022-06-05T20:23:57-00:00 Amsterdam,64
2022-06-05T20:28:57-00:00 Amsterdam,64
2022-06-05T20:33:57-00:00 Amsterdam,63
2022-06-05T20:38:58-00:00 Amsterdam,63
2022-06-05T20:43:57-00:00 Amsterdam,63
2022-06-05T20:48:57-00:00 Amsterdam,63
2022-06-05T20:53:57-00:00 Amsterdam,63
2022-06-05T20:58:57-00:00 Amsterdam,62
2022-06-05T21:03:57-00:00 Amsterdam,62
2022-06-05T21:08:57-00:00 Amsterdam,62
2022-06-05T21:13:57-00:00 Amsterdam,62
2022-06-05T21:18:57-00:00 Amsterdam,62
2022-06-05T21:23:57-00:00 Amsterdam,62
2022-06-05T21:28:57-00:00 Amsterdam,62
2022-06-05T21:33:57-00:00 Amsterdam,62
2022-06-05T21:38:57-00:00 Amsterdam,62
2022-06-05T21:43:57-00:00 Amsterdam,62
2022-06-05T21:48:57-00:00 Amsterdam,62
2022-06-05T21:53:57-00:00 Amsterdam,62
2022-06-05T21:58:57-00:00 Amsterdam,62
2022-06-05T22:03:57-00:00 Amsterdam,63
2022-06-05T22:08:57-00:00 Amsterdam,63
2022-06-05T22:13:57-00:00 Amsterdam,63
2022-06-05T22:18:57-00:00 Amsterdam,63
2022-06-05T22:23:57-00:00 Amsterdam,63
2022-06-05T22:28:57-00:00 Amsterdam,63
2022-06-05T22:33:57-00:00 Amsterdam,63
2022-06-05T22:38:57-00:00 Amsterdam,63
2022-06-05T22:43:57-00:00 Amsterdam,64
2022-06-05T22:48:57-00:00 Amsterdam,64
2022-06-05T22:53:57-00:00 Amsterdam,64
2022-06-05T22:58:57-00:00 Amsterdam,64
2022-06-05T23:03:57-00:00 Amsterdam,64
2022-06-05T23:08:57-00:00 Amsterdam,64
2022-06-05T23:13:57-00:00 Amsterdam,64
2022-06-05T23:23:57-00:00 Amsterdam,64
2022-06-05T23:28:57-00:00 Amsterdam,64
2022-06-05T23:33:57-00:00 Amsterdam,64
2022-06-05T23:38:57-00:00 Amsterdam,64
2022-06-05T23:43:57-00:00 Amsterdam,64
2022-06-05T23:48:57-00:00 Amsterdam,64
2022-06-05T23:53:57-00:00 Amsterdam,64
2022-06-05T23:58:57-00:00 Amsterdam,64
2022-06-06T00:13:57-00:00 Amsterdam,63
2022-06-06T00:18:57-00:00 Amsterdam,64
2022-06-06T00:23:57-00:00 Amsterdam,64
2022-06-06T00:28:57-00:00 Amsterdam,63
2022-06-06T00:33:57-00:00 Amsterdam,63
2022-06-06T00:38:57-00:00 Amsterdam,63
