ver:"3.0" id:@396a2669-cb8d-491e-81a1-53360d297f4a hisStart:2022-06-05T18:54:11-00:00 Amsterdam hisEnd:2022-06-08T18:54:11-00:00 Amsterdam
ts,val
2022-06-05T18:58:58-00:00 Amsterdam,411
2022-06-05T19:03:58-00:00 Amsterdam,454
2022-06-05T19:13:58-00:00 Amsterdam,520
2022-06-05T19:18:58-00:00 Amsterdam,492
2022-06-05T19:23:58-00:00 Amsterdam,455
2022-06-05T19:28:58-00:00 Amsterdam,430
2022-06-05T19:33:58-00:00 Amsterdam,418
2022-06-05T19:38:58-00:00 Amsterdam,404
2022-06-05T19:43:58-00:00 Amsterdam,430
2022-06-05T19:48:58-00:00 Amsterdam,537
2022-06-05T19:53:58-00:00 Amsterdam,583
2022-06-05T19:58:58-00:00 Amsterdam,559
2022-06-05T20:03:58-00:00 Amsterdam,523
2022-06-05T20:08:58-00:00 Amsterdam,475
2022-06-05T20:13:57-00:00 Amsterdam,454
2022-06-05T20:18:57-00:00 Amsterdam,443
2022-06-05T20:23:57-00:00 Amsterdam,410
2022-06-05T20:28:57-00:00 Amsterdam,413
2022-06-05T20:33:57-00:00 Amsterdam,387
2022-06-05T20:38:58-00:00 Amsterdam,362
2022-06-05T20:43:57-00:00 Amsterdam,359
2022-06-05T20:48:57-00:00 Amsterdam,357
2022-06-05T20:53:57-00:00 Amsterdam,350
2022-06-05T20:58:57-00:00 Amsterdam,346
2022-06-05T21:03:57-00:00 Amsterdam,347
2022-06-05T21:08:57-00:00 Amsterdam,349
2022-06-05T21:13:57-00:00 Amsterdam,353
2022-06-05T21:18:57-00:00 Amsterdam,348
2022-06-05T21:23:57-00:00 Amsterdam,340
2022-06-05T21:28:57-00:00 Amsterdam,355
2022-06-05T21:33:57-00:00 Amsterdam,354
2022-06-05T21:38:57-00:00 Amsterdam,346
2022-06-05T21:43:57-00:00 Amsterdam,346
2022-06-05T21:48:57-00:00 Amsterdam,340
2022-06-05T21:53:57-00:00 Amsterdam,338
2022-06-05T21:58:57-00:00 Amsterdam,340
2022-06-05T22:03:57-00:00 Amsterdam,329
2022-06-05T22:08:57-00:00 Amsterdam,363
2022-06-05T22:13:57-00:00 Amsterdam,371
2022-06-05T22:18:57-00:00 Amsterdam,382
2022-06-05T22:23:57-00:00 Amsterdam,377
2022-06-05T22:28:57-00:00 Amsterdam,370
2022-06-05T22:33:57-00:00 Amsterdam,365
2022-06-05T22:38:57-00:00 Amsterdam,368
2022-06-05T22:43:57-00:00 Amsterdam,414
2022-06-05T22:48:57-00:00 Amsterdam,459
2022-06-05T22:53:57-00:00 Amsterdam,492
2022-06-05T22:58:57-00:00 Amsterdam,481
2022-06-05T23:03:57-00:00 Amsterdam,489
2022-06-05T23:08:57-00:00 Amsterdam,449
2022-06-05T23:13:57-00:00 Amsterdam,425
2022-06-05T23:23:57-00:00 Amsterdam,409
2022-06-05T23:28:57-00:00 Amsterdam,406
2022-06-05T23:33:57-00:00 Amsterdam,395
2022-06-05T23:38:57-00:00 Amsterdam,400
2022-06-05T23:43:57-00:00 Amsterdam,408
2022-06-05T23:48:57-00:00 Amsterdam,410
2022-06-05T23:53:57-00:00 Amsterdam,416
2022-06-05T23:58:57-00:00 Amsterdam,412
2022-06-06T00:13:57-00:00 Amsterdam,403
2022-06-06T00:18:57-00:00 Amsterdam,408
2022-06-06T00:23:57-00:00 Amsterdam,416
2022-06-06T00:28:57-00:00 Amsterdam,450
2022-06-06T00:33:57-00:00 Amsterdam,602
2022-06-06T00:38:57-00:00 Amsterdam,626
2022-06-06T00:43:57-00:00 Amsterdam,629
2022-06-06T00:48:57-00:00 Amsterdam,731
2022-06-06T00:53:57-00:00 Amsterdam,679
2022-06-06T00:58:57-00:00 Amsterdam,629
2022-06-06T01:03:57-00:00 Amsterdam,577
2022-06-06T01:08:57-00:00 Amsterdam,541
2022-06-06T01:13:57-00:00 Amsterdam,513
2022-06-06T01:18:57-00:00 Amsterdam,525
2022-06-06T01:23:57-00:00 Amsterdam,504
2022-06-06T01:28:57-00:00 Amsterdam,490
2022-06-06T01:33:56-00:00 Amsterdam,479
2022-06-06T01:38:56-00:00 Amsterdam,463
2022-06-06T01:43:56-00:00 Amsterdam,453
2022-06-06T01:48:56-00:00 Amsterdam,446
2022-06-06T01:53:56-00:00 Amsterdam,433
2022-06-06T01:58:57-00:00 Amsterdam,432
2022-06-06T02:03:56-00:00 Amsterdam,443
2022-06-06T02:08:56-00:00 Amsterdam,436
2022-06-06T02:13:56-00:00 Amsterdam,430
2022-06-06T02:18:56-00:00 Amsterdam,433
2022-06-06T02:23:56-00:00 Amsterdam,440
2022-06-06T02:28:56-00:00 Amsterdam,442
2022-06-06T02:38:56-00:00 Amsterdam,438
2022-06-06T02:43:56-00:00 Amsterdam,447
2022-06-06T02:48:56-00:00 Amsterdam,443
2022-06-06T02:53:56-00:00 Amsterdam,449
2022-06-06T03:03:56-00:00 Amsterdam,444
2022-06-06T03:08:56-00:00 Amsterdam,499
2022-06-06T03:13:56-00:00 Amsterdam,555
2022-06-06T03:18:56-00:00 Amsterdam,621
2022-06-06T03:23:56-00:00 Amsterdam,710
2022-06-06T03:28:56-00:00 Amsterdam,731
2022-06-06T03:33:56-00:00 Amsterdam,807
2022-06-06T03:38:56-00:00 Amsterdam,836
2022-06-06T03:43:56-00:00 Amsterdam,880
2022-06-06T03:48:56-00:00 Amsterdam,920
2022-06-06T03:53:56-00:00 Amsterdam,936
2022-06-06T03:58:56-00:00 Amsterdam,992
2022-06-06T04:03:56-00:00 Amsterdam,1031
2022-06-06T04:08:56-00:00 Amsterdam,1058
2022-06-06T04:23:56-00:00 Amsterdam,1158
2022-06-06T04:28:56-00:00 Amsterdam,1198
