ver:"3.0" id:@d8cb32bf-da89-4f84-8659-bab124b91e69 hisStart:2022-06-05T18:54:13-00:00 Amsterdam hisEnd:2022-06-08T18:54:13-00:00 Amsterdam
ts,val
2022-06-05T18:58:44-00:00 Amsterdam,21.5
2022-06-05T19:03:44-00:00 Amsterdam,21.5
2022-06-05T19:08:44-00:00 Amsterdam,21.5
2022-06-05T19:13:44-00:00 Amsterdam,21.6
2022-06-05T19:18:44-00:00 Amsterdam,21.6
2022-06-05T19:23:44-00:00 Amsterdam,21.5
2022-06-05T19:28:44-00:00 Amsterdam,21.5
2022-06-05T19:33:44-00:00 Amsterdam,21.5
2022-06-05T19:38:44-00:00 Amsterdam,21.5
2022-06-05T19:43:44-00:00 Amsterdam,21.5
2022-06-05T19:48:44-00:00 Amsterdam,21.5
2022-06-05T19:53:44-00:00 Amsterdam,21.5
2022-06-05T19:58:44-00:00 Amsterdam,21.5
2022-06-05T20:03:44-00:00 Amsterdam,21.5
2022-06-05T20:08:44-00:00 Amsterdam,21.5
2022-06-05T20:13:44-00:00 Amsterdam,21.6
2022-06-05T20:18:44-00:00 Amsterdam,21.6
2022-06-05T20:23:44-00:00 Amsterdam,21.7
2022-06-05T20:28:44-00:00 Amsterdam,21.7
2022-06-05T20:33:44-00:00 Amsterdam,21.7
2022-06-05T20:38:44-00:00 Amsterdam,21.7
2022-06-05T20:43:44-00:00 Amsterdam,21.8
2022-06-05T20:48:44-00:00 Amsterdam,21.8
2022-06-05T20:53:44-00:00 Amsterdam,21.7
2022-06-05T20:58:44-00:00 Amsterdam,21.7
2022-06-05T21:03:44-00:00 Amsterdam,21.8
2022-06-05T21:08:44-00:00 Amsterdam,21.7
2022-06-05T21:13:44-00:00 Amsterdam,21.7
2022-06-05T21:18:44-00:00 Amsterdam,21.6
2022-06-05T21:23:44-00:00 Amsterdam,21.6
2022-06-05T21:28:44-00:00 Amsterdam,21.6
2022-06-05T21:33:44-00:00 Amsterdam,21.7
2022-06-05T21:38:44-00:00 Amsterdam,21.6
2022-06-05T21:43:44-00:00 Amsterdam,21.6
2022-06-05T21:48:44-00:00 Amsterdam,21.6
2022-06-05T21:53:44-00:00 Amsterdam,21.6
2022-06-05T21:58:44-00:00 Amsterdam,21.6
2022-06-05T22:03:44-00:00 Amsterdam,21.5
2022-06-05T22:08:44-00:00 Amsterdam,21.5
2022-06-05T22:13:44-00:00 Amsterdam,21.4
2022-06-05T22:18:44-00:00 Amsterdam,21.3
2022-06-05T22:23:44-00:00 Amsterdam,21.3
2022-06-05T22:28:43-00:00 Amsterdam,21.2
2022-06-05T22:33:43-00:00 Amsterdam,21.2
2022-06-05T22:38:43-00:00 Amsterdam,21.1
2022-06-05T22:43:43-00:00 Amsterdam,21.1
2022-06-05T22:48:43-00:00 Amsterdam,21
2022-06-05T22:53:43-00:00 Amsterdam,21
2022-06-05T22:58:43-00:00 Amsterdam,21
2022-06-05T23:03:43-00:00 Amsterdam,20.9
2022-06-05T23:08:43-00:00 Amsterdam,20.8
2022-06-05T23:13:43-00:00 Amsterdam,20.8
2022-06-05T23:18:43-00:00 Amsterdam,20.8
2022-06-05T23:23:43-00:00 Amsterdam,20.8
2022-06-05T23:28:43-00:00 Amsterdam,20.7
2022-06-05T23:33:43-00:00 Amsterdam,20.6
2022-06-05T23:38:43-00:00 Amsterdam,20.6
2022-06-05T23:43:43-00:00 Amsterdam,20.6
2022-06-05T23:48:43-00:00 Amsterdam,20.6
2022-06-05T23:53:43-00:00 Amsterdam,20.5
2022-06-05T23:58:43-00:00 Amsterdam,20.5
2022-06-06T00:03:43-00:00 Amsterdam,20.5
2022-06-06T00:08:43-00:00 Amsterdam,20.4
2022-06-06T00:13:43-00:00 Amsterdam,20.4
2022-06-06T00:18:43-00:00 Amsterdam,20.4
2022-06-06T00:23:43-00:00 Amsterdam,20.3
2022-06-06T00:28:43-00:00 Amsterdam,20.3
2022-06-06T00:33:43-00:00 Amsterdam,20.2
2022-06-06T00:38:43-00:00 Amsterdam,20.2
2022-06-06T00:43:43-00:00 Amsterdam,20.2
2022-06-06T00:48:43-00:00 Amsterdam,20.1
2022-06-06T00:53:43-00:00 Amsterdam,20.1
2022-06-06T00:58:43-00:00 Amsterdam,20
2022-06-06T01:03:43-00:00 Amsterdam,20
2022-06-06T01:08:43-00:00 Amsterdam,20
2022-06-06T01:13:43-00:00 Amsterdam,20
2022-06-06T01:18:43-00:00 Amsterdam,19.9
2022-06-06T01:23:43-00:00 Amsterdam,19.9
2022-06-06T01:28:43-00:00 Amsterdam,19.8
2022-06-06T01:33:43-00:00 Amsterdam,19.9
2022-06-06T01:38:43-00:00 Amsterdam,19.7
2022-06-06T01:43:43-00:00 Amsterdam,19.7
2022-06-06T01:48:43-00:00 Amsterdam,19.7
2022-06-06T01:53:43-00:00 Amsterdam,19.7
2022-06-06T01:58:43-00:00 Amsterdam,19.7
2022-06-06T02:03:43-00:00 Amsterdam,19.6
2022-06-06T02:08:43-00:00 Amsterdam,19.6
2022-06-06T02:13:43-00:00 Amsterdam,19.5
2022-06-06T02:18:43-00:00 Amsterdam,19.5
2022-06-06T02:23:43-00:00 Amsterdam,19.5
2022-06-06T02:28:43-00:00 Amsterdam,19.5
2022-06-06T02:33:43-00:00 Amsterdam,19.4
2022-06-06T02:38:43-00:00 Amsterdam,19.4
2022-06-06T02:43:43-00:00 Amsterdam,19.3
2022-06-06T02:48:43-00:00 Amsterdam,19.3
2022-06-06T02:53:43-00:00 Amsterdam,19.3
2022-06-06T02:58:43-00:00 Amsterdam,19.3
2022-06-06T03:03:43-00:00 Amsterdam,19.2
2022-06-06T03:08:43-00:00 Amsterdam,19.2
2022-06-06T03:13:43-00:00 Amsterdam,19.1
2022-06-06T03:23:43-00:00 Amsterdam,19.1
2022-06-06T03:28:42-00:00 Amsterdam,19
2022-06-06T03:33:42-00:00 Amsterdam,19
2022-06-06T03:38:42-00:00 Amsterdam,19
2022-06-06T03:43:42-00:00 Amsterdam,19
2022-06-06T03:48:42-00:00 Amsterdam,19
2022-06-06T03:53:42-00:00 Amsterdam,18.9
2022-06-06T03:58:42-00:00 Amsterdam,18.9
2022-06-06T04:03:42-00:00 Amsterdam,18.9
2022-06-06T04:08:42-00:00 Amsterdam,18.9
2022-06-06T04:13:42-00:00 Amsterdam,18.9
2022-06-06T04:18:42-00:00 Amsterdam,18.8
2022-06-06T04:23:42-00:00 Amsterdam,18.8
2022-06-06T04:28:42-00:00 Amsterdam,18.7
2022-06-06T04:33:42-00:00 Amsterdam,18.7
2022-06-06T04:38:42-00:00 Amsterdam,18.7
2022-06-06T04:43:42-00:00 Amsterdam,18.7
2022-06-06T04:48:42-00:00 Amsterdam,18.7
2022-06-06T04:53:42-00:00 Amsterdam,18.6
2022-06-06T04:58:42-00:00 Amsterdam,18.6
2022-06-06T05:03:42-00:00 Amsterdam,18.6
2022-06-06T05:08:42-00:00 Amsterdam,18.6
