ver:"3.0" id:@9aec3aef-9848-46cd-b6bd-61af50f037f9 hisStart:2022-06-05T18:54:12-00:00 Amsterdam hisEnd:2022-06-08T18:54:12-00:00 Amsterdam
ts,val
2022-06-05T18:58:44-00:00 Amsterdam,1193
2022-06-05T19:03:44-00:00 Amsterdam,1245
2022-06-05T19:08:44-00:00 Amsterdam,1310
2022-06-05T19:13:44-00:00 Amsterdam,1271
2022-06-05T19:18:44-00:00 Amsterdam,1331
2022-06-05T19:23:44-00:00 Amsterdam,1346
2022-06-05T19:28:44-00:00 Amsterdam,1377
2022-06-05T19:33:44-00:00 Amsterdam,1428
2022-06-05T19:38:44-00:00 Amsterdam,1443
2022-06-05T19:43:44-00:00 Amsterdam,1475
2022-06-05T19:48:44-00:00 Amsterdam,1495
2022-06-05T19:53:44-00:00 Amsterdam,1557
2022-06-05T19:58:44-00:00 Amsterdam,1580
2022-06-05T20:03:44-00:00 Amsterdam,1488
2022-06-05T20:08:44-00:00 Amsterdam,1535
2022-06-05T20:13:44-00:00 Amsterdam,1580
2022-06-05T20:18:44-00:00 Amsterdam,1620
2022-06-05T20:23:44-00:00 Amsterdam,1627
2022-06-05T20:28:44-00:00 Amsterdam,1651
2022-06-05T20:33:44-00:00 Amsterdam,1649
2022-06-05T20:38:44-00:00 Amsterdam,1688
2022-06-05T20:43:44-00:00 Amsterdam,1701
2022-06-05T20:48:44-00:00 Amsterdam,1759
2022-06-05T20:53:44-00:00 Amsterdam,1637
2022-06-05T20:58:44-00:00 Amsterdam,1701
2022-06-05T21:03:44-00:00 Amsterdam,1734
2022-06-05T21:08:44-00:00 Amsterdam,1734
2022-06-05T21:13:44-00:00 Amsterdam,1734
2022-06-05T21:18:44-00:00 Amsterdam,1777
2022-06-05T21:23:44-00:00 Amsterdam,1689
2022-06-05T21:28:44-00:00 Amsterdam,1635
2022-06-05T21:33:44-00:00 Amsterdam,1659
2022-06-05T21:38:44-00:00 Amsterdam,1682
2022-06-05T21:43:44-00:00 Amsterdam,1724
2022-06-05T21:48:44-00:00 Amsterdam,1682
2022-06-05T21:53:44-00:00 Amsterdam,1669
2022-06-05T21:58:44-00:00 Amsterdam,1666
2022-06-05T22:03:44-00:00 Amsterdam,1627
2022-06-05T22:08:44-00:00 Amsterdam,1583
2022-06-05T22:13:44-00:00 Amsterdam,1570
2022-06-05T22:18:44-00:00 Amsterdam,1575
2022-06-05T22:23:44-00:00 Amsterdam,1506
2022-06-05T22:28:43-00:00 Amsterdam,1474
2022-06-05T22:33:43-00:00 Amsterdam,1445
2022-06-05T22:38:43-00:00 Amsterdam,1361
2022-06-05T22:43:43-00:00 Amsterdam,1348
2022-06-05T22:48:43-00:00 Amsterdam,1310
2022-06-05T22:53:43-00:00 Amsterdam,1262
2022-06-05T22:58:43-00:00 Amsterdam,1208
2022-06-05T23:03:43-00:00 Amsterdam,1179
2022-06-05T23:08:43-00:00 Amsterdam,1187
2022-06-05T23:13:43-00:00 Amsterdam,1101
2022-06-05T23:18:43-00:00 Amsterdam,1022
2022-06-05T23:23:43-00:00 Amsterdam,1011
2022-06-05T23:28:43-00:00 Amsterdam,996
2022-06-05T23:33:43-00:00 Amsterdam,950
2022-06-05T23:38:43-00:00 Amsterdam,951
2022-06-05T23:43:43-00:00 Amsterdam,939
2022-06-05T23:48:43-00:00 Amsterdam,926
2022-06-05T23:53:43-00:00 Amsterdam,908
2022-06-05T23:58:43-00:00 Amsterdam,904
2022-06-06T00:03:43-00:00 Amsterdam,889
2022-06-06T00:08:43-00:00 Amsterdam,845
2022-06-06T00:13:43-00:00 Amsterdam,811
2022-06-06T00:18:43-00:00 Amsterdam,782
2022-06-06T00:23:43-00:00 Amsterdam,769
2022-06-06T00:28:43-00:00 Amsterdam,770
2022-06-06T00:33:43-00:00 Amsterdam,735
2022-06-06T00:38:43-00:00 Amsterdam,712
2022-06-06T00:43:43-00:00 Amsterdam,693
2022-06-06T00:48:43-00:00 Amsterdam,714
2022-06-06T00:53:43-00:00 Amsterdam,711
2022-06-06T00:58:43-00:00 Amsterdam,717
2022-06-06T01:03:43-00:00 Amsterdam,694
2022-06-06T01:08:43-00:00 Amsterdam,704
2022-06-06T01:13:43-00:00 Amsterdam,668
2022-06-06T01:18:43-00:00 Amsterdam,654
2022-06-06T01:23:43-00:00 Amsterdam,675
2022-06-06T01:28:43-00:00 Amsterdam,659
2022-06-06T01:33:43-00:00 Amsterdam,632
2022-06-06T01:38:43-00:00 Amsterdam,636
2022-06-06T01:43:43-00:00 Amsterdam,651
2022-06-06T01:48:43-00:00 Amsterdam,618
2022-06-06T01:53:43-00:00 Amsterdam,613
2022-06-06T01:58:43-00:00 Amsterdam,615
2022-06-06T02:03:43-00:00 Amsterdam,622
2022-06-06T02:08:43-00:00 Amsterdam,598
2022-06-06T02:13:43-00:00 Amsterdam,605
2022-06-06T02:18:43-00:00 Amsterdam,603
2022-06-06T02:23:43-00:00 Amsterdam,598
2022-06-06T02:28:43-00:00 Amsterdam,592
2022-06-06T02:33:43-00:00 Amsterdam,599
2022-06-06T02:38:43-00:00 Amsterdam,595
2022-06-06T02:43:43-00:00 Amsterdam,584
2022-06-06T02:48:43-00:00 Amsterdam,594
2022-06-06T02:53:43-00:00 Amsterdam,582
