ver:"3.0" id:@bed5f9be-94c1-11ec-8346-9afde65bc921 hisStart:2022-06-05T18:53:48-00:00 Amsterdam hisEnd:2022-06-08T18:53:48-00:00 Amsterdam
ts,val
2022-06-05T18:54:34-00:00 Amsterdam,3
2022-06-05T18:59:33-00:00 Amsterdam,3
2022-06-05T19:04:33-00:00 Amsterdam,3
2022-06-05T19:09:33-00:00 Amsterdam,2
2022-06-05T19:14:33-00:00 Amsterdam,2
2022-06-05T19:19:34-00:00 Amsterdam,3
2022-06-05T19:24:33-00:00 Amsterdam,3
2022-06-05T19:29:33-00:00 Amsterdam,2
2022-06-05T19:34:33-00:00 Amsterdam,2
2022-06-05T19:39:33-00:00 Amsterdam,2
2022-06-05T19:44:33-00:00 Amsterdam,2
2022-06-05T19:49:33-00:00 Amsterdam,2
2022-06-05T19:54:33-00:00 Amsterdam,2
2022-06-05T19:59:33-00:00 Amsterdam,2
2022-06-05T20:04:33-00:00 Amsterdam,1
2022-06-05T20:09:33-00:00 Amsterdam,2
2022-06-05T20:14:33-00:00 Amsterdam,1
2022-06-05T20:19:33-00:00 Amsterdam,1
2022-06-05T20:24:33-00:00 Amsterdam,1
2022-06-05T20:29:33-00:00 Amsterdam,1
2022-06-05T20:34:33-00:00 Amsterdam,2
2022-06-05T20:39:33-00:00 Amsterdam,1
2022-06-05T20:44:33-00:00 Amsterdam,1
2022-06-05T20:49:33-00:00 Amsterdam,1
2022-06-05T20:54:33-00:00 Amsterdam,2
2022-06-05T20:59:33-00:00 Amsterdam,1
2022-06-05T21:04:33-00:00 Amsterdam,1
2022-06-05T21:09:33-00:00 Amsterdam,1
2022-06-05T21:14:33-00:00 Amsterdam,1
2022-06-05T21:19:33-00:00 Amsterdam,1
2022-06-05T21:24:33-00:00 Amsterdam,1
2022-06-05T21:29:33-00:00 Amsterdam,2
2022-06-05T21:34:33-00:00 Amsterdam,2
2022-06-05T21:39:33-00:00 Amsterdam,2
2022-06-05T21:44:33-00:00 Amsterdam,1
2022-06-05T21:49:33-00:00 Amsterdam,2
2022-06-05T21:54:33-00:00 Amsterdam,2
2022-06-05T21:59:33-00:00 Amsterdam,1
2022-06-05T22:04:33-00:00 Amsterdam,0
2022-06-05T22:09:33-00:00 Amsterdam,0
2022-06-05T22:14:33-00:00 Amsterdam,0
2022-06-05T22:19:33-00:00 Amsterdam,0
2022-06-05T22:24:33-00:00 Amsterdam,1
2022-06-05T22:29:33-00:00 Amsterdam,0
2022-06-05T22:34:33-00:00 Amsterdam,0
2022-06-05T22:39:33-00:00 Amsterdam,0
2022-06-05T22:44:33-00:00 Amsterdam,0
2022-06-05T22:49:33-00:00 Amsterdam,0
2022-06-05T22:54:33-00:00 Amsterdam,0
2022-06-05T22:59:33-00:00 Amsterdam,0
2022-06-05T23:04:33-00:00 Amsterdam,0
2022-06-05T23:09:33-00:00 Amsterdam,0
2022-06-05T23:14:33-00:00 Amsterdam,0
2022-06-05T23:19:33-00:00 Amsterdam,0
2022-06-05T23:24:33-00:00 Amsterdam,0
2022-06-05T23:29:33-00:00 Amsterdam,0
2022-06-05T23:34:33-00:00 Amsterdam,0
2022-06-05T23:39:33-00:00 Amsterdam,0
