ver:"3.0" id:@385ca8a2-658e-47b1-bff8-393f0b6c0d6c hisStart:2022-06-05T18:54:09-00:00 Amsterdam hisEnd:2022-06-08T18:54:09-00:00 Amsterdam
ts,val
2022-06-05T18:54:34-00:00 Amsterdam,1251
2022-06-05T18:59:33-00:00 Amsterdam,1253
2022-06-05T19:04:33-00:00 Amsterdam,1262
2022-06-05T19:09:33-00:00 Amsterdam,1245
2022-06-05T19:14:33-00:00 Amsterdam,1228
2022-06-05T19:19:34-00:00 Amsterdam,1205
2022-06-05T19:24:33-00:00 Amsterdam,1215
2022-06-05T19:29:33-00:00 Amsterdam,1168
2022-06-05T19:34:33-00:00 Amsterdam,1192
2022-06-05T19:39:33-00:00 Amsterdam,1182
2022-06-05T19:44:33-00:00 Amsterdam,1162
2022-06-05T19:49:33-00:00 Amsterdam,1173
2022-06-05T19:54:33-00:00 Amsterdam,1170
2022-06-05T19:59:33-00:00 Amsterdam,1196
2022-06-05T20:04:33-00:00 Amsterdam,1177
2022-06-05T20:09:33-00:00 Amsterdam,1180
2022-06-05T20:14:33-00:00 Amsterdam,1198
2022-06-05T20:19:33-00:00 Amsterdam,1159
2022-06-05T20:24:33-00:00 Amsterdam,1159
2022-06-05T20:29:33-00:00 Amsterdam,1162
2022-06-05T20:34:33-00:00 Amsterdam,1187
2022-06-05T20:39:33-00:00 Amsterdam,1148
2022-06-05T20:44:33-00:00 Amsterdam,1173
2022-06-05T20:49:33-00:00 Amsterdam,1162
2022-06-05T20:54:33-00:00 Amsterdam,1187
2022-06-05T20:59:33-00:00 Amsterdam,1170
2022-06-05T21:04:33-00:00 Amsterdam,1151
2022-06-05T21:09:33-00:00 Amsterdam,1149
2022-06-05T21:14:33-00:00 Amsterdam,1127
2022-06-05T21:19:33-00:00 Amsterdam,1130
2022-06-05T21:24:33-00:00 Amsterdam,1134
2022-06-05T21:29:33-00:00 Amsterdam,1106
2022-06-05T21:34:33-00:00 Amsterdam,1125
2022-06-05T21:39:33-00:00 Amsterdam,1105
2022-06-05T21:44:33-00:00 Amsterdam,1110
2022-06-05T21:49:33-00:00 Amsterdam,1135
2022-06-05T21:54:33-00:00 Amsterdam,1130
2022-06-05T21:59:33-00:00 Amsterdam,1131
2022-06-05T22:04:33-00:00 Amsterdam,1123
2022-06-05T22:09:33-00:00 Amsterdam,1149
2022-06-05T22:14:33-00:00 Amsterdam,1129
2022-06-05T22:19:33-00:00 Amsterdam,1130
2022-06-05T22:24:33-00:00 Amsterdam,1122
2022-06-05T22:29:33-00:00 Amsterdam,1142
2022-06-05T22:34:33-00:00 Amsterdam,1101
2022-06-05T22:39:33-00:00 Amsterdam,1062
2022-06-05T22:44:33-00:00 Amsterdam,1020
2022-06-05T22:49:33-00:00 Amsterdam,948
2022-06-05T22:54:33-00:00 Amsterdam,890
2022-06-05T22:59:33-00:00 Amsterdam,840
2022-06-05T23:04:33-00:00 Amsterdam,780
2022-06-05T23:09:33-00:00 Amsterdam,740
2022-06-05T23:14:33-00:00 Amsterdam,692
2022-06-05T23:19:33-00:00 Amsterdam,680
2022-06-05T23:24:33-00:00 Amsterdam,648
2022-06-05T23:29:33-00:00 Amsterdam,628
2022-06-05T23:34:33-00:00 Amsterdam,604
2022-06-05T23:39:33-00:00 Amsterdam,577
2022-06-05T23:44:33-00:00 Amsterdam,576
2022-06-05T23:49:33-00:00 Amsterdam,555
2022-06-05T23:54:33-00:00 Amsterdam,548
2022-06-05T23:59:33-00:00 Amsterdam,534
2022-06-06T00:04:33-00:00 Amsterdam,506
2022-06-06T00:09:33-00:00 Amsterdam,498
2022-06-06T00:14:32-00:00 Amsterdam,502
2022-06-06T00:19:32-00:00 Amsterdam,500
2022-06-06T00:24:32-00:00 Amsterdam,481
2022-06-06T00:29:32-00:00 Amsterdam,468
2022-06-06T00:34:32-00:00 Amsterdam,467
2022-06-06T00:39:33-00:00 Amsterdam,462
2022-06-06T00:44:32-00:00 Amsterdam,462
2022-06-06T00:49:32-00:00 Amsterdam,443
2022-06-06T00:54:32-00:00 Amsterdam,452
2022-06-06T00:59:32-00:00 Amsterdam,442
2022-06-06T01:04:32-00:00 Amsterdam,438
2022-06-06T01:09:32-00:00 Amsterdam,429
2022-06-06T01:14:32-00:00 Amsterdam,444
2022-06-06T01:19:32-00:00 Amsterdam,410
2022-06-06T01:24:32-00:00 Amsterdam,418
2022-06-06T01:34:32-00:00 Amsterdam,408
2022-06-06T01:39:32-00:00 Amsterdam,417
2022-06-06T01:44:32-00:00 Amsterdam,402
2022-06-06T01:49:32-00:00 Amsterdam,416
2022-06-06T01:54:32-00:00 Amsterdam,406
2022-06-06T01:59:32-00:00 Amsterdam,402
2022-06-06T02:04:32-00:00 Amsterdam,407
2022-06-06T02:09:32-00:00 Amsterdam,402
2022-06-06T02:14:32-00:00 Amsterdam,404
2022-06-06T02:19:32-00:00 Amsterdam,398
2022-06-06T02:29:32-00:00 Amsterdam,393
2022-06-06T02:34:32-00:00 Amsterdam,397
2022-06-06T02:39:32-00:00 Amsterdam,399
2022-06-06T02:44:32-00:00 Amsterdam,387
2022-06-06T02:49:32-00:00 Amsterdam,396
2022-06-06T02:54:32-00:00 Amsterdam,393
2022-06-06T02:59:32-00:00 Amsterdam,396
2022-06-06T03:04:32-00:00 Amsterdam,396
2022-06-06T03:09:32-00:00 Amsterdam,385
2022-06-06T03:14:32-00:00 Amsterdam,379
2022-06-06T03:19:32-00:00 Amsterdam,396
2022-06-06T03:24:32-00:00 Amsterdam,397
2022-06-06T03:29:32-00:00 Amsterdam,388
2022-06-06T03:34:32-00:00 Amsterdam,385
2022-06-06T03:39:32-00:00 Amsterdam,395
2022-06-06T03:44:32-00:00 Amsterdam,379
2022-06-06T03:49:32-00:00 Amsterdam,382
2022-06-06T03:54:32-00:00 Amsterdam,384
2022-06-06T03:59:32-00:00 Amsterdam,389
2022-06-06T04:04:32-00:00 Amsterdam,391
2022-06-06T04:09:32-00:00 Amsterdam,388
2022-06-06T04:14:32-00:00 Amsterdam,397
2022-06-06T04:19:32-00:00 Amsterdam,390
2022-06-06T04:24:32-00:00 Amsterdam,381
2022-06-06T04:29:32-00:00 Amsterdam,385
2022-06-06T04:34:32-00:00 Amsterdam,388
2022-06-06T04:39:32-00:00 Amsterdam,381
2022-06-06T04:44:32-00:00 Amsterdam,380
2022-06-06T04:49:32-00:00 Amsterdam,388
2022-06-06T04:54:32-00:00 Amsterdam,389
2022-06-06T04:59:32-00:00 Amsterdam,388
2022-06-06T05:04:32-00:00 Amsterdam,394
2022-06-06T05:09:32-00:00 Amsterdam,407
2022-06-06T05:14:32-00:00 Amsterdam,405
2022-06-06T05:24:32-00:00 Amsterdam,400
2022-06-06T05:29:31-00:00 Amsterdam,415
2022-06-06T05:34:31-00:00 Amsterdam,434
2022-06-06T05:39:32-00:00 Amsterdam,429
2022-06-06T05:44:31-00:00 Amsterdam,428
2022-06-06T05:49:31-00:00 Amsterdam,434
2022-06-06T05:59:32-00:00 Amsterdam,427
2022-06-06T06:04:31-00:00 Amsterdam,421
