ver:"3.0"
id,ts,val
@e8378485-2dc5-45c5-adfe-e618257c5a9c,2022-06-08T16:49:44-00:00 Amsterdam,23.7
@7a8616a4-e5aa-4561-baad-f2b98f3c6b6f,2022-06-08T16:49:44-00:00 Amsterdam,60
@bee904fa-94c1-11ec-8346-9afde65bc921,2022-06-08T16:48:31-00:00 Amsterdam,42
@bee71de8-94c1-11ec-8346-9afde65bc921,2022-06-08T16:48:31-00:00 Amsterdam,2
@bee2f25e-94c1-11ec-8346-9afde65bc921,2022-06-08T16:48:44-00:00 Amsterdam,1
@bed2db9e-94c1-11ec-8346-9afde65bc921,2022-06-08T16:49:20-00:00 Amsterdam,0
@385ca8a2-658e-47b1-bff8-393f0b6c0d6c,2022-06-08T16:49:20-00:00 Amsterdam,1038
@beef6fde-94c1-11ec-8346-9afde65bc921,2022-06-08T16:49:44-00:00 Amsterdam,0
@beed4f24-94c1-11ec-8346-9afde65bc921,2022-06-08T16:49:44-00:00 Amsterdam,0
@a8bb0d4b-2976-4a90-aeaa-46a77363a332,2022-06-08T16:49:44-00:00 Amsterdam,637
@bee0f6e8-94c1-11ec-8346-9afde65bc921,2022-06-08T16:48:44-00:00 Amsterdam,0
@bedf07b6-94c1-11ec-8346-9afde65bc921,2022-06-08T16:48:44-00:00 Amsterdam,3.617
@9aec3aef-9848-46cd-b6bd-61af50f037f9,2022-06-08T16:48:31-00:00 Amsterdam,1367
@bee50864-94c1-11ec-8346-9afde65bc921,2022-06-08T16:48:31-00:00 Amsterdam,3.648
@396a2669-cb8d-491e-81a1-53360d297f4a,2022-06-08T16:48:44-00:00 Amsterdam,549
@6c3aba92-21a7-4463-87b6-71437885f826,2022-06-08T16:49:20-00:00 Amsterdam,19.9
@0ba60f2b-a760-41fe-b080-1466f3ec1b28,2022-06-08T16:49:20-00:00 Amsterdam,70
@bed5f9be-94c1-11ec-8346-9afde65bc921,2022-06-08T16:49:20-00:00 Amsterdam,40
@bec8d400-94c1-11ec-8346-9afde65bc921,2022-06-08T16:49:20-00:00 Amsterdam,3.633
@beeb190c-94c1-11ec-8346-9afde65bc921,2022-06-08T16:49:44-00:00 Amsterdam,3.051
@d8cb32bf-da89-4f84-8659-bab124b91e69,2022-06-08T16:48:31-00:00 Amsterdam,20.1
@6e19f7d9-e328-482a-850d-84476d2bcbe3,2022-06-08T16:48:31-00:00 Amsterdam,69
@40b3fcf6-038a-4ca5-9b2a-25046e293db3,2022-06-08T16:48:44-00:00 Amsterdam,21.2
@6a3fa16b-b1ab-4b7b-a903-50b4130c75d1,2022-06-08T16:48:44-00:00 Amsterdam,62
