ver:"3.0"
id,dis,point,airInsights,siteRef,equipRef,tz,kind,his,unit,type,sensorId,tenantId,i_streaming_enabled,default
@385ca8a2-658e-47b1-bff8-393f0b6c0d6c,"A81758FFFE053FDC",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FDC:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@6c3aba92-21a7-4463-87b6-71437885f826,"A81758FFFE053FDC-Temp",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FDC:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@0ba60f2b-a760-41fe-b080-1466f3ec1b28,"A81758FFFE053FDC-Humidity",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FDC:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@6853d332-4347-47f4-ae6d-9f10516184b9,"A81758FFFE053FDD",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FDD:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@9045167a-15ab-4e04-b59a-b2d74361691d,"A81758FFFE053FDD-Temp",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FDD:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@d9f2fbca-13f2-41bf-97f9-dd04146db3ed,"A81758FFFE053FDD-Humidity",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FDD:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@396a2669-cb8d-491e-81a1-53360d297f4a,"A81758FFFE053FDA",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FDA:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@40b3fcf6-038a-4ca5-9b2a-25046e293db3,"A81758FFFE053FDA-Temp",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"C","temperature","urn:dev:DEVEUI:A81758FFFE053FDA:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@6a3fa16b-b1ab-4b7b-a903-50b4130c75d1,"A81758FFFE053FDA-Humidity",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@387dd5b2-1f2e-4014-b6ff-eaa42388ec06 "387dd5b2-1f2e-4014-b6ff-eaa42388ec06","Amsterdam","Number",M,"%RH","humidity","urn:dev:DEVEUI:A81758FFFE053FDA:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
@9aec3aef-9848-46cd-b6bd-61af50f037f9,"A81758FFFE053FDB",M,M,@070872ef-454b-4fff-9962-31d6dd7572e9 "070872ef-454b-4fff-9962-31d6dd7572e9",@2a1a05df-2cae-46cf-be44-30addf80d4e1 "2a1a05df-2cae-46cf-be44-30addf80d4e1","Amsterdam","Number",M,"ppm","CO2","urn:dev:DEVEUI:A81758FFFE053FDB:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",,
