building,room 1,sensorId,unit
Webtech,Studeerkamer,A81758FFFE053FDB-Temp,C

Time (UTC),Value
03/23/2022 23:59:11,17.70
03/23/2022 23:54:11,17.80
03/23/2022 23:49:11,17.90
03/23/2022 23:44:11,17.90
03/23/2022 23:39:11,17.90
03/23/2022 23:34:11,18.00
03/23/2022 23:29:11,18.10
03/23/2022 23:24:11,18.10
03/23/2022 23:19:11,18.20
03/23/2022 23:14:11,18.20
03/23/2022 23:09:11,18.20
03/23/2022 23:04:11,18.30
03/23/2022 22:59:11,18.30
03/23/2022 22:54:11,18.30
03/23/2022 22:49:11,18.30
03/23/2022 22:44:11,18.40
03/23/2022 22:39:11,18.50
03/23/2022 22:34:11,18.60
03/23/2022 22:29:11,18.60
03/23/2022 22:24:11,18.60
03/23/2022 22:19:11,18.70
03/23/2022 22:14:11,18.70
03/23/2022 22:09:11,18.90
03/23/2022 22:04:11,18.90
03/23/2022 21:59:11,19.00
03/23/2022 21:54:11,19.00
03/23/2022 21:49:11,19.10
03/23/2022 21:44:11,19.10
03/23/2022 21:39:11,19.10
03/23/2022 21:34:11,19.20
03/23/2022 21:29:11,19.10
03/23/2022 21:24:11,19.10
03/23/2022 21:19:11,19.20
03/23/2022 21:14:11,19.20
03/23/2022 21:09:11,19.20
03/23/2022 21:04:11,19.30
03/23/2022 20:59:11,19.30
03/23/2022 20:54:11,19.30
03/23/2022 20:49:11,19.30
03/23/2022 20:44:11,19.30
03/23/2022 20:39:11,19.20
03/23/2022 20:34:11,19.20
03/23/2022 20:29:11,19.20
03/23/2022 20:24:11,19.30
03/23/2022 20:19:11,19.20
03/23/2022 20:14:11,19.30
03/23/2022 20:09:11,19.30
03/23/2022 20:04:11,19.30
03/23/2022 19:59:12,19.30
03/23/2022 19:54:11,19.30
03/23/2022 19:49:11,19.30
03/23/2022 19:44:12,19.30
03/23/2022 19:39:12,19.30
03/23/2022 19:34:12,19.30
03/23/2022 19:29:12,19.20
03/23/2022 19:24:12,19.30
03/23/2022 19:19:12,19.20
03/23/2022 19:14:12,19.20
03/23/2022 19:09:12,19.20
03/23/2022 19:04:12,19.20
03/23/2022 18:59:12,19.20
03/23/2022 18:54:12,19.10
03/23/2022 18:49:12,19.10
03/23/2022 18:44:12,19.10
03/23/2022 18:39:12,19.10
03/23/2022 18:34:12,19.10
03/23/2022 18:29:12,19.10
03/23/2022 18:24:12,19.00
03/23/2022 18:19:12,19.00
03/23/2022 18:14:12,19.00
03/23/2022 18:09:12,19.00
03/23/2022 18:04:12,18.90
03/23/2022 17:59:12,18.90
03/23/2022 17:54:12,18.90
03/23/2022 17:49:12,18.90
03/23/2022 17:44:12,18.80
03/23/2022 17:39:12,18.80
03/23/2022 17:34:12,18.80
03/23/2022 17:29:12,18.70
03/23/2022 17:24:12,18.70
03/23/2022 17:19:12,18.60
03/23/2022 17:14:12,18.60
03/23/2022 17:09:12,18.50
03/23/2022 17:04:12,18.50
03/23/2022 16:59:12,18.40
03/23/2022 16:54:12,18.40
03/23/2022 16:49:12,18.30
03/23/2022 16:44:12,18.20
03/23/2022 16:39:12,18.20
03/23/2022 16:34:12,18.10
03/23/2022 16:29:12,17.90
03/23/2022 16:24:12,17.90
03/23/2022 16:19:12,17.80
03/23/2022 16:14:12,17.70
03/23/2022 16:09:12,17.70
03/23/2022 16:04:12,17.60
03/23/2022 15:59:12,17.60
