building,room 1,sensorId,unit
Webtech,Studeerkamer,A81758FFFE053FDB,ppm

Time (UTC),Value
03/23/2022 23:59:11,1314.00
03/23/2022 23:54:11,1348.00
03/23/2022 23:49:11,1350.00
03/23/2022 23:44:11,1364.00
03/23/2022 23:39:11,1379.00
03/23/2022 23:34:11,1401.00
03/23/2022 23:29:11,1416.00
03/23/2022 23:24:11,1429.00
03/23/2022 23:19:11,1432.00
03/23/2022 23:14:11,1451.00
03/23/2022 23:09:11,1496.00
03/23/2022 23:04:11,1525.00
03/23/2022 22:59:11,1538.00
03/23/2022 22:54:11,1560.00
03/23/2022 22:49:11,1581.00
03/23/2022 22:44:11,1608.00
03/23/2022 22:39:11,1621.00
03/23/2022 22:34:11,1651.00
03/23/2022 22:29:11,1677.00
03/23/2022 22:24:11,1720.00
03/23/2022 22:19:11,1744.00
03/23/2022 22:14:11,1776.00
03/23/2022 22:09:11,1810.00
03/23/2022 22:04:11,1791.00
03/23/2022 21:59:11,1812.00
03/23/2022 21:54:11,1883.00
03/23/2022 21:49:11,1936.00
03/23/2022 21:44:11,1923.00
03/23/2022 21:39:11,1941.00
03/23/2022 21:34:11,1924.00
03/23/2022 21:29:11,1915.00
03/23/2022 21:24:11,1894.00
03/23/2022 21:19:11,1871.00
03/23/2022 21:14:11,1864.00
03/23/2022 21:09:11,1846.00
03/23/2022 21:04:11,1869.00
03/23/2022 20:59:11,1848.00
03/23/2022 20:54:11,1862.00
03/23/2022 20:49:11,1876.00
03/23/2022 20:44:11,1836.00
03/23/2022 20:39:11,1832.00
03/23/2022 20:34:11,1782.00
03/23/2022 20:29:11,1787.00
03/23/2022 20:24:11,1761.00
03/23/2022 20:19:11,1755.00
03/23/2022 20:14:11,1755.00
03/23/2022 20:09:11,1771.00
03/23/2022 20:04:11,1736.00
03/23/2022 19:59:12,1726.00
03/23/2022 19:54:11,1749.00
03/23/2022 19:49:11,1722.00
03/23/2022 19:44:12,1739.00
03/23/2022 19:39:12,1730.00
03/23/2022 19:34:12,1704.00
03/23/2022 19:29:12,1713.00
03/23/2022 19:24:12,1667.00
03/23/2022 19:19:12,1666.00
03/23/2022 19:14:12,1637.00
03/23/2022 19:09:12,1599.00
03/23/2022 19:04:12,1595.00
03/23/2022 18:59:12,1580.00
03/23/2022 18:54:12,1549.00
03/23/2022 18:49:12,1516.00
03/23/2022 18:44:12,1512.00
03/23/2022 18:39:12,1486.00
03/23/2022 18:34:12,1468.00
03/23/2022 18:29:12,1399.00
03/23/2022 18:24:12,1421.00
03/23/2022 18:19:12,1385.00
03/23/2022 18:14:12,1361.00
03/23/2022 18:09:12,1355.00
03/23/2022 18:04:12,1312.00
03/23/2022 17:59:12,1322.00
03/23/2022 17:54:12,1242.00
03/23/2022 17:49:12,1218.00
03/23/2022 17:44:12,1193.00
