building,room 1,sensorId,unit
Webtech,Studeerkamer,A81758FFFE053FDB-Temp,C

Time (UTC),Value
03/29/2022 23:58:45,16.40
03/29/2022 23:53:45,16.50
03/29/2022 23:48:45,16.40
03/29/2022 23:43:45,16.50
03/29/2022 23:38:45,16.50
03/29/2022 23:33:45,16.50
03/29/2022 23:28:45,16.60
03/29/2022 23:23:45,16.70
03/29/2022 23:18:45,16.70
03/29/2022 23:13:45,16.70
03/29/2022 23:08:45,16.80
03/29/2022 23:03:45,16.80
03/29/2022 22:58:45,16.90
03/29/2022 22:53:45,16.80
03/29/2022 22:48:45,16.90
03/29/2022 22:43:45,16.90
03/29/2022 22:38:45,17.00
03/29/2022 22:33:45,17.00
03/29/2022 22:28:45,17.10
03/29/2022 22:23:45,17.10
03/29/2022 22:18:45,17.10
03/29/2022 22:13:45,17.10
03/29/2022 22:08:45,17.20
03/29/2022 22:03:45,17.30
03/29/2022 21:58:45,17.30
03/29/2022 21:53:45,17.30
03/29/2022 21:48:45,17.40
03/29/2022 21:43:45,17.40
03/29/2022 21:38:45,17.40
03/29/2022 21:33:45,17.50
03/29/2022 21:28:45,17.60
03/29/2022 21:23:45,17.60
03/29/2022 21:18:45,17.70
03/29/2022 21:13:45,17.70
03/29/2022 21:08:45,17.80
03/29/2022 21:03:45,17.80
03/29/2022 20:58:45,17.90
03/29/2022 20:53:45,18.00
03/29/2022 20:48:45,18.00
03/29/2022 20:43:45,18.10
03/29/2022 20:38:45,18.20
03/29/2022 20:33:45,18.10
03/29/2022 20:28:45,18.20
03/29/2022 20:23:45,18.20
03/29/2022 20:18:45,18.20
03/29/2022 20:13:45,18.20
03/29/2022 20:08:45,18.30
03/29/2022 20:03:45,18.20
03/29/2022 19:58:45,18.20
03/29/2022 19:53:45,18.20
03/29/2022 19:48:45,18.30
03/29/2022 19:43:45,18.30
03/29/2022 19:38:45,18.30
03/29/2022 19:33:45,18.30
03/29/2022 19:28:45,18.30
03/29/2022 19:23:45,18.30
03/29/2022 19:18:45,18.30
03/29/2022 19:13:45,18.30
03/29/2022 19:08:45,18.30
03/29/2022 19:03:45,18.30
03/29/2022 18:58:45,18.30
03/29/2022 18:53:45,18.30
03/29/2022 18:48:45,18.30
03/29/2022 18:43:46,18.30
03/29/2022 18:38:45,18.30
03/29/2022 18:33:45,18.20
03/29/2022 18:28:45,18.20
03/29/2022 18:23:45,18.20
03/29/2022 18:18:46,18.20
03/29/2022 18:13:46,18.20
03/29/2022 18:08:46,18.20
03/29/2022 18:03:46,18.20
03/29/2022 17:58:46,18.20
03/29/2022 17:53:46,18.40
03/29/2022 17:48:46,18.40
03/29/2022 17:43:46,18.30
03/29/2022 17:38:46,18.40
03/29/2022 17:33:46,18.40
03/29/2022 17:28:46,18.50
03/29/2022 17:23:46,18.50
03/29/2022 17:18:46,18.40
03/29/2022 17:13:46,18.50
03/29/2022 17:08:46,18.40
03/29/2022 17:03:46,18.40
03/29/2022 16:58:46,18.40
