building,room 1,sensorId,unit
Webtech,Studeerkamer,A81758FFFE053FDB,ppm

Time (UTC),Value
03/21/2022 23:59:20,1198.00
03/21/2022 23:54:20,1220.00
03/21/2022 23:49:20,1243.00
03/21/2022 23:44:20,1265.00
03/21/2022 23:39:20,1280.00
03/21/2022 23:34:20,1289.00
03/21/2022 23:29:20,1300.00
03/21/2022 23:24:20,1319.00
03/21/2022 23:19:20,1333.00
03/21/2022 23:14:20,1355.00
03/21/2022 23:09:20,1370.00
03/21/2022 23:04:20,1396.00
03/21/2022 22:59:20,1428.00
03/21/2022 22:54:20,1442.00
03/21/2022 22:49:20,1447.00
03/21/2022 22:44:20,1482.00
03/21/2022 22:39:20,1513.00
03/21/2022 22:34:20,1526.00
03/21/2022 22:29:20,1556.00
03/21/2022 22:24:20,1606.00
03/21/2022 22:19:20,1642.00
03/21/2022 22:14:20,1645.00
03/21/2022 22:09:20,1677.00
03/21/2022 22:04:20,1700.00
03/21/2022 21:59:20,1722.00
03/21/2022 21:54:20,1750.00
03/21/2022 21:49:20,1811.00
03/21/2022 21:44:20,1866.00
03/21/2022 21:39:20,1853.00
03/21/2022 21:34:20,1841.00
03/21/2022 21:29:20,1799.00
03/21/2022 21:24:20,1805.00
03/21/2022 21:19:20,1788.00
03/21/2022 21:14:20,1785.00
03/21/2022 21:09:20,1809.00
03/21/2022 21:04:20,1805.00
03/21/2022 20:59:20,1796.00
03/21/2022 20:54:20,1783.00
03/21/2022 20:49:20,1811.00
03/21/2022 20:44:20,1763.00
03/21/2022 20:39:20,1778.00
03/21/2022 20:34:20,1737.00
03/21/2022 20:29:20,1743.00
03/21/2022 20:24:20,1766.00
03/21/2022 20:19:20,1724.00
03/21/2022 20:14:20,1720.00
03/21/2022 20:09:20,1741.00
03/21/2022 20:04:20,1704.00
03/21/2022 19:59:21,1722.00
03/21/2022 19:54:20,1662.00
03/21/2022 19:49:20,1681.00
03/21/2022 19:44:21,1657.00
03/21/2022 19:39:21,1666.00
03/21/2022 19:34:21,1624.00
03/21/2022 19:29:21,1630.00
03/21/2022 19:24:21,1632.00
03/21/2022 19:19:21,1638.00
03/21/2022 19:14:21,1610.00
03/21/2022 19:09:21,1614.00
03/21/2022 19:04:21,1607.00
03/21/2022 18:59:21,1547.00
03/21/2022 18:54:21,1558.00
03/21/2022 18:49:21,1546.00
03/21/2022 18:44:21,1491.00
03/21/2022 18:39:21,1465.00
03/21/2022 18:34:21,1473.00
03/21/2022 18:29:21,1439.00
03/21/2022 18:24:21,1447.00
03/21/2022 18:19:21,1423.00
03/21/2022 18:14:21,1411.00
03/21/2022 18:09:21,1374.00
03/21/2022 18:04:21,1357.00
03/21/2022 17:59:21,1354.00
03/21/2022 17:54:21,1359.00
03/21/2022 17:49:21,1367.00
03/21/2022 17:44:21,1401.00
03/21/2022 17:39:21,1405.00
03/21/2022 17:34:21,1420.00
03/21/2022 17:29:21,1430.00
03/21/2022 17:24:21,1460.00
03/21/2022 17:19:21,1481.00
03/21/2022 17:14:21,1510.00
03/21/2022 17:09:21,1475.00
03/21/2022 17:04:21,1478.00
03/21/2022 16:59:21,1446.00
03/21/2022 16:54:21,1426.00
03/21/2022 16:49:21,1424.00
03/21/2022 16:44:21,1431.00
03/21/2022 16:39:21,1436.00
03/21/2022 16:34:21,1406.00
03/21/2022 16:29:21,1351.00
03/21/2022 16:24:21,1411.00
03/21/2022 16:19:21,1378.00
03/21/2022 16:14:21,1352.00
03/21/2022 16:09:21,1325.00
03/21/2022 16:04:21,1312.00
03/21/2022 15:59:21,1250.00
03/21/2022 15:54:21,1291.00
