building,room 1,sensorId,unit
Webtech,Studeerkamer,A81758FFFE053FDB-Humidity,%RH

Time (UTC),Value
03/22/2022 23:59:15,61.00
03/22/2022 23:54:15,61.00
03/22/2022 23:49:15,61.00
03/22/2022 23:44:15,61.00
03/22/2022 23:39:15,61.00
03/22/2022 23:34:15,61.00
03/22/2022 23:29:15,61.00
03/22/2022 23:24:15,61.00
03/22/2022 23:19:15,61.00
03/22/2022 23:14:15,61.00
03/22/2022 23:09:15,61.00
03/22/2022 23:04:15,61.00
03/22/2022 22:59:15,61.00
03/22/2022 22:54:15,61.00
03/22/2022 22:49:15,61.00
03/22/2022 22:44:15,61.00
03/22/2022 22:34:15,61.00
03/22/2022 22:29:15,61.00
03/22/2022 22:24:15,61.00
03/22/2022 22:19:16,61.00
03/22/2022 22:14:16,61.00
03/22/2022 22:09:16,61.00
03/22/2022 22:04:16,61.00
03/22/2022 21:59:16,61.00
03/22/2022 21:54:16,61.00
03/22/2022 21:49:16,61.00
03/22/2022 21:44:16,61.00
03/22/2022 21:39:16,61.00
03/22/2022 21:34:16,61.00
03/22/2022 21:29:16,61.00
03/22/2022 21:24:16,60.00
03/22/2022 21:19:16,60.00
03/22/2022 21:14:16,60.00
03/22/2022 21:09:16,60.00
03/22/2022 21:04:16,60.00
03/22/2022 20:59:16,60.00
03/22/2022 20:54:16,60.00
03/22/2022 20:49:16,60.00
03/22/2022 20:44:16,60.00
03/22/2022 20:39:16,60.00
03/22/2022 20:34:16,59.00
03/22/2022 20:29:16,59.00
03/22/2022 20:24:16,59.00
03/22/2022 20:19:16,59.00
03/22/2022 20:14:16,59.00
03/22/2022 20:09:16,59.00
03/22/2022 20:04:16,59.00
03/22/2022 19:59:16,59.00
03/22/2022 19:54:16,59.00
03/22/2022 19:49:16,59.00
03/22/2022 19:44:16,59.00
03/22/2022 19:39:16,59.00
03/22/2022 19:34:16,59.00
03/22/2022 19:29:16,58.00
03/22/2022 19:24:16,59.00
03/22/2022 19:19:16,58.00
03/22/2022 19:14:16,59.00
03/22/2022 19:09:16,59.00
03/22/2022 19:04:16,59.00
03/22/2022 18:59:16,59.00
03/22/2022 18:54:16,59.00
03/22/2022 18:49:16,59.00
03/22/2022 18:44:16,59.00
03/22/2022 18:39:16,59.00
03/22/2022 18:34:16,59.00
03/22/2022 18:29:16,59.00
03/22/2022 18:24:16,59.00
03/22/2022 18:19:16,59.00
03/22/2022 18:14:16,60.00
03/22/2022 18:09:16,59.00
03/22/2022 18:04:16,60.00
03/22/2022 17:59:16,60.00
03/22/2022 17:54:16,60.00
03/22/2022 17:49:16,60.00
03/22/2022 17:44:16,60.00
03/22/2022 17:39:16,60.00
03/22/2022 17:34:16,60.00
03/22/2022 17:29:17,60.00
03/22/2022 17:24:16,60.00
03/22/2022 17:19:17,60.00
03/22/2022 17:14:16,60.00
03/22/2022 17:09:16,60.00
03/22/2022 17:04:16,60.00
03/22/2022 16:59:17,60.00
03/22/2022 16:54:17,60.00
03/22/2022 16:49:17,60.00
03/22/2022 16:44:17,60.00
03/22/2022 16:39:17,60.00
03/22/2022 16:34:17,61.00
03/22/2022 16:29:17,61.00
03/22/2022 16:24:17,61.00
03/22/2022 16:19:17,61.00
03/22/2022 16:14:17,61.00
03/22/2022 16:09:17,61.00
03/22/2022 16:04:17,61.00
03/22/2022 15:59:17,61.00
03/22/2022 15:54:17,61.00
03/22/2022 15:49:17,61.00
03/22/2022 15:44:17,61.00
03/22/2022 15:39:17,61.00
03/22/2022 15:34:17,61.00
03/22/2022 15:29:17,62.00
03/22/2022 15:24:17,62.00
03/22/2022 15:19:17,62.00
03/22/2022 15:14:17,62.00
03/22/2022 15:09:17,62.00
03/22/2022 15:04:17,62.00
03/22/2022 14:59:17,62.00
03/22/2022 14:54:17,62.00
03/22/2022 14:49:17,62.00
03/22/2022 14:44:17,62.00
03/22/2022 14:39:17,63.00
03/22/2022 14:34:17,63.00
03/22/2022 14:29:17,63.00
03/22/2022 14:24:17,63.00
03/22/2022 14:19:17,63.00
03/22/2022 14:14:17,63.00
03/22/2022 14:09:17,63.00
03/22/2022 14:04:17,63.00
03/22/2022 13:59:17,63.00
03/22/2022 13:54:17,63.00
03/22/2022 13:49:17,63.00
03/22/2022 13:44:17,63.00
03/22/2022 13:39:17,63.00
03/22/2022 13:34:17,64.00
03/22/2022 13:29:17,64.00
03/22/2022 13:24:17,64.00
03/22/2022 13:19:17,64.00
03/22/2022 13:14:17,64.00
03/22/2022 13:09:17,64.00
03/22/2022 13:04:17,64.00
03/22/2022 12:59:17,64.00
03/22/2022 12:54:17,64.00
03/22/2022 12:49:17,64.00
03/22/2022 12:44:17,64.00
03/22/2022 12:39:17,64.00
03/22/2022 12:34:17,64.00
03/22/2022 12:29:17,64.00
03/22/2022 12:24:17,64.00
03/22/2022 12:19:17,64.00
03/22/2022 12:14:17,64.00
03/22/2022 12:09:17,64.00
03/22/2022 12:04:18,64.00
03/22/2022 11:59:18,64.00
03/22/2022 11:54:18,64.00
03/22/2022 11:49:18,64.00
03/22/2022 11:44:18,64.00
03/22/2022 11:39:18,64.00
03/22/2022 11:34:18,64.00
03/22/2022 11:29:18,64.00
03/22/2022 11:24:18,64.00
03/22/2022 11:19:18,64.00
03/22/2022 11:14:18,65.00
03/22/2022 11:09:18,65.00
03/22/2022 11:04:18,65.00
03/22/2022 10:59:18,65.00
03/22/2022 10:54:18,65.00
03/22/2022 10:49:18,65.00
03/22/2022 10:44:18,65.00
03/22/2022 10:39:18,65.00
03/22/2022 10:34:18,65.00
03/22/2022 10:29:18,65.00
03/22/2022 10:24:18,65.00
03/22/2022 10:19:18,65.00
03/22/2022 10:14:18,65.00
03/22/2022 10:09:18,65.00
03/22/2022 10:04:18,65.00
03/22/2022 09:59:18,65.00
03/22/2022 09:54:18,65.00
03/22/2022 09:49:18,65.00
03/22/2022 09:44:18,65.00
03/22/2022 09:39:18,65.00
03/22/2022 09:34:18,65.00
03/22/2022 09:29:18,65.00
03/22/2022 09:24:18,65.00
03/22/2022 09:19:18,65.00
03/22/2022 09:14:18,65.00
03/22/2022 09:09:18,66.00
03/22/2022 09:04:18,65.00
03/22/2022 08:59:18,65.00
03/22/2022 08:54:18,65.00
03/22/2022 08:49:18,65.00
03/22/2022 08:44:18,65.00
03/22/2022 08:39:18,65.00
03/22/2022 08:34:18,64.00
03/22/2022 08:29:18,64.00
03/22/2022 08:24:18,64.00
03/22/2022 08:19:18,65.00
03/22/2022 08:14:18,64.00
03/22/2022 08:09:18,64.00
03/22/2022 08:04:18,64.00
03/22/2022 07:59:18,65.00
03/22/2022 07:54:18,64.00
03/22/2022 07:49:18,64.00
03/22/2022 07:44:18,64.00
03/22/2022 07:39:18,63.00
03/22/2022 07:34:18,63.00
03/22/2022 07:29:18,62.00
03/22/2022 07:24:18,62.00
03/22/2022 07:19:18,62.00
03/22/2022 07:14:18,62.00
03/22/2022 07:09:18,62.00
03/22/2022 07:04:18,62.00
03/22/2022 06:59:18,62.00
03/22/2022 06:54:18,62.00
03/22/2022 06:49:18,62.00
03/22/2022 06:44:18,62.00
03/22/2022 06:39:19,61.00
03/22/2022 06:34:19,61.00
03/22/2022 06:29:19,61.00
03/22/2022 06:24:19,61.00
03/22/2022 06:19:19,61.00
03/22/2022 06:14:19,61.00
03/22/2022 06:09:19,61.00
03/22/2022 06:04:19,61.00
03/22/2022 05:59:19,61.00
03/22/2022 05:54:19,61.00
03/22/2022 05:49:19,62.00
03/22/2022 05:44:19,62.00
03/22/2022 05:39:19,63.00
03/22/2022 05:34:19,64.00
03/22/2022 05:29:19,64.00
03/22/2022 05:24:19,64.00
03/22/2022 05:19:19,65.00
03/22/2022 05:14:19,64.00
03/22/2022 05:09:19,64.00
03/22/2022 05:04:19,64.00
03/22/2022 04:59:19,64.00
03/22/2022 04:54:19,64.00
03/22/2022 04:49:19,64.00
03/22/2022 04:44:19,64.00
03/22/2022 04:39:19,64.00
03/22/2022 04:34:19,64.00
03/22/2022 04:29:19,64.00
03/22/2022 04:24:19,64.00
03/22/2022 04:19:19,64.00
03/22/2022 04:14:19,64.00
03/22/2022 04:09:19,64.00
03/22/2022 04:04:19,64.00
03/22/2022 03:59:19,64.00
03/22/2022 03:54:19,64.00
03/22/2022 03:49:19,64.00
03/22/2022 03:44:19,64.00
03/22/2022 03:39:19,64.00
03/22/2022 03:34:19,64.00
03/22/2022 03:29:19,64.00
03/22/2022 03:24:19,64.00
03/22/2022 03:19:19,64.00
03/22/2022 03:14:19,64.00
03/22/2022 03:09:19,64.00
03/22/2022 03:04:19,64.00
03/22/2022 02:59:19,64.00
03/22/2022 02:54:19,64.00
03/22/2022 02:49:19,63.00
03/22/2022 02:44:19,63.00
03/22/2022 02:39:19,63.00
03/22/2022 02:34:19,63.00
03/22/2022 02:29:19,63.00
03/22/2022 02:24:19,63.00
03/22/2022 02:19:19,63.00
03/22/2022 02:14:19,63.00
03/22/2022 02:09:19,63.00
03/22/2022 02:04:20,63.00
03/22/2022 01:59:20,63.00
03/22/2022 01:54:20,63.00
03/22/2022 01:49:20,63.00
03/22/2022 01:44:20,63.00
03/22/2022 01:39:20,63.00
03/22/2022 01:34:20,63.00
03/22/2022 01:29:20,63.00
03/22/2022 01:24:20,63.00
03/22/2022 01:19:20,63.00
03/22/2022 01:14:19,63.00
03/22/2022 01:09:19,63.00
03/22/2022 01:04:19,63.00
03/22/2022 00:59:19,63.00
03/22/2022 00:54:19,63.00
03/22/2022 00:49:19,63.00
03/22/2022 00:44:19,63.00
03/22/2022 00:39:19,63.00
03/22/2022 00:34:20,63.00
03/22/2022 00:29:20,63.00
03/22/2022 00:24:20,63.00
03/22/2022 00:19:20,63.00
03/22/2022 00:14:20,63.00
03/22/2022 00:09:20,63.00
03/22/2022 00:04:20,63.00
03/21/2022 23:59:20,63.00
03/21/2022 23:54:20,63.00
03/21/2022 23:49:20,63.00
03/21/2022 23:44:20,63.00
03/21/2022 23:39:20,62.00
03/21/2022 23:34:20,63.00
03/21/2022 23:29:20,62.00
03/21/2022 23:24:20,62.00
03/21/2022 23:19:20,62.00
03/21/2022 23:14:20,62.00
03/21/2022 23:09:20,62.00
03/21/2022 23:04:20,62.00
03/21/2022 22:59:20,62.00
03/21/2022 22:54:20,62.00
03/21/2022 22:49:20,62.00
03/21/2022 22:44:20,62.00
03/21/2022 22:39:20,62.00
03/21/2022 22:34:20,63.00
03/21/2022 22:29:20,63.00
03/21/2022 22:24:20,63.00
03/21/2022 22:19:20,63.00
03/21/2022 22:14:20,63.00
03/21/2022 22:09:20,63.00
03/21/2022 22:04:20,63.00
03/21/2022 21:59:20,63.00
03/21/2022 21:54:20,62.00
03/21/2022 21:49:20,63.00
03/21/2022 21:44:20,63.00
03/21/2022 21:39:20,62.00
03/21/2022 21:34:20,62.00
03/21/2022 21:29:20,62.00
03/21/2022 21:24:20,62.00
03/21/2022 21:19:20,62.00
03/21/2022 21:14:20,62.00
03/21/2022 21:09:20,62.00
03/21/2022 21:04:20,62.00
03/21/2022 20:59:20,62.00
03/21/2022 20:54:20,62.00
03/21/2022 20:49:20,62.00
03/21/2022 20:44:20,62.00
03/21/2022 20:39:20,62.00
03/21/2022 20:34:20,62.00
03/21/2022 20:29:20,62.00
03/21/2022 20:24:20,62.00
03/21/2022 20:19:20,62.00
03/21/2022 20:14:20,62.00
03/21/2022 20:09:20,62.00
03/21/2022 20:04:20,62.00
03/21/2022 19:59:21,62.00
03/21/2022 19:54:20,62.00
03/21/2022 19:49:20,62.00
03/21/2022 19:44:21,62.00
03/21/2022 19:39:21,62.00
03/21/2022 19:34:21,62.00
03/21/2022 19:29:21,62.00
03/21/2022 19:24:21,62.00
03/21/2022 19:19:21,62.00
03/21/2022 19:14:21,62.00
03/21/2022 19:09:21,62.00
03/21/2022 19:04:21,62.00
